local,flowsim,ns3,m4
4405809.0,605024.0,1127131.0,725488.0
4378346.0,597833.0,1123155.0,720936.0
4455413.0,597929.0,1127131.0,734455.0
4562025.0,609515.0,1122237.0,725532.0
4457726.0,610040.0,1126213.0,722859.0
4457878.0,611471.0,1123308.0,726392.0
4428091.0,614922.0,1127284.0,737235.0
4584989.0,581989.0,1122065.0,725588.0
4546034.0,612385.0,1122560.0,736481.0
4422280.0,330594.0,1124921.0,728506.0
4453740.0,603321.0,1119001.0,737132.0
4456795.0,228879.0,1124059.0,736572.0
4483456.0,598150.0,1128035.0,741097.0
4395158.0,569475.0,1124059.0,728102.0
4411229.0,600143.0,1128035.0,778083.0
4585970.0,595740.0,1124059.0,737766.0
4515577.0,611687.0,1128035.0,780552.0
4405808.0,610478.0,1124059.0,743902.0
4418202.0,604613.0,1128035.0,786763.0
4601239.0,604420.0,1124059.0,765007.0
4483926.0,601789.0,1128035.0,787989.0
4420847.0,602162.0,1124059.0,773155.0
4438620.0,607217.0,1128035.0,790563.0
4512090.0,609916.0,1124059.0,778632.0
4455643.0,595326.0,1128035.0,791951.0
4578747.0,607602.0,1124059.0,785085.0
4504255.0,493115.0,1128035.0,793127.0
4512932.0,596003.0,1124059.0,736537.0
4459741.0,65355.0,1128730.0,793912.0
4351846.0,599442.0,1124874.0,790874.0
4583305.0,552453.0,1119816.0,794152.0
4413844.0,609819.0,1124856.0,760041.0
4460753.0,600131.0,1128832.0,736541.0
4443961.0,614135.0,1124856.0,789728.0
4520165.0,611788.0,1128832.0,727671.0
4512240.0,606277.0,1124864.0,773436.0
4472314.0,605673.0,1128846.0,728623.0
4471603.0,600840.0,1124856.0,782640.0
4400669.0,600802.0,1128832.0,737017.0
4563027.0,606402.0,1124856.0,782813.0
4406380.0,606764.0,1128832.0,712876.0
4522731.0,600608.0,1124856.0,786013.0
4479228.0,601769.0,1128832.0,723884.0
4473076.0,590256.0,1124856.0,726201.0
4449902.0,598240.0,1128832.0,722674.0
4506790.0,505845.0,1124856.0,730731.0
4444351.0,603093.0,1128832.0,718247.0
4522850.0,56001.0,1124856.0,726349.0
4415587.0,610053.0,1128832.0,446920.0
4403374.0,554181.0,1123952.0,811276.0
4583315.0,613322.0,1127928.0,719282.0
4432639.0,607636.0,1126071.0,813682.0
4406089.0,603679.0,1130046.0,720783.0
4535304.0,603057.0,1121982.0,812143.0
4571082.0,601715.0,1124115.0,722711.0
4419946.0,601596.0,1113109.0,714626.0
4402332.0,608817.0,1118995.0,726136.0
4457958.0,608786.0,1123161.0,745509.0
4473156.0,600845.0,1118121.0,745011.0
4480360.0,600864.0,1123155.0,724004.0
4470491.0,601449.0,1127131.0,722054.0
4409455.0,601577.0,1123155.0,716920.0
4497822.0,612370.0,1127131.0,717898.0
4561233.0,612874.0,1123155.0,738009.0
4562085.0,604816.0,1127131.0,716548.0
4490819.0,606526.0,1123155.0,722858.0
4404075.0,594052.0,1127131.0,712047.0
4545013.0,608237.0,1122237.0,731643.0
4522139.0,517264.0,1126213.0,717065.0
4525506.0,602823.0,1123308.0,733562.0
4470351.0,55833.0,1127284.0,727315.0
4512321.0,599922.0,1122065.0,714318.0
4442137.0,545159.0,1122560.0,719171.0
4493475.0,608766.0,1124921.0,722087.0
4534473.0,598961.0,1119001.0,751625.0
4529964.0,602513.0,1124059.0,761313.0
4437759.0,600820.0,1128035.0,729715.0
4461474.0,602776.0,1124059.0,718527.0
4469619.0,602447.0,1128035.0,719328.0
4399346.0,612101.0,1124059.0,726132.0
4451936.0,612226.0,1128035.0,727933.0
4459981.0,609068.0,1124059.0,730848.0
4448409.0,609837.0,1128035.0,723181.0
4500578.0,600072.0,1124059.0,732311.0
4624363.0,605125.0,1128035.0,725131.0
4456454.0,582902.0,1124059.0,725546.0
4516779.0,604040.0,1128035.0,732894.0
4415547.0,344384.0,1124065.0,729096.0
4521828.0,599684.0,1128041.0,733350.0
4467255.0,213429.0,1124856.0,728732.0
4481132.0,609951.0,1128832.0,729195.0
4449241.0,571317.0,1124856.0,733128.0
4439532.0,604783.0,1128832.0,727033.0
3631269.0,600130.0,1124856.0,733173.0
4545824.0,601613.0,1128832.0,735536.0
4456945.0,601054.0,1124864.0,723304.0
4526387.0,610380.0,1128846.0,726003.0
4411980.0,610266.0,1124856.0,722163.0
4422560.0,611324.0,1128832.0,736729.0
4471232.0,611283.0,1124856.0,728408.0
4466012.0,602198.0,1128832.0,724796.0
4463127.0,602217.0,1124856.0,716762.0
4508463.0,601013.0,1128832.0,727005.0
4494276.0,601167.0,1124856.0,727667.0
4546686.0,602112.0,1128832.0,726789.0
4573587.0,603066.0,1124856.0,719720.0
4569990.0,600620.0,1128832.0,726984.0
4476773.0,611346.0,1124856.0,726214.0
4407592.0,525296.0,1128832.0,730110.0
4441816.0,607082.0,1124856.0,726153.0
4428792.0,56001.0,1128832.0,723003.0
4560953.0,605262.0,1123952.0,729481.0
4408072.0,536521.0,1127928.0,728125.0
4533310.0,605557.0,1126071.0,731168.0
4497973.0,599873.0,1130046.0,727988.0
4491822.0,613907.0,1121982.0,731119.0
4498214.0,612880.0,1124115.0,723599.0
4471583.0,606261.0,1113109.0,732307.0
4570862.0,606047.0,1118995.0,729308.0
4623291.0,599460.0,1123161.0,722368.0
4506539.0,599449.0,1118121.0,732286.0
4349211.0,601174.0,1123155.0,716461.0
4573777.0,601275.0,1127131.0,731697.0
4682814.0,609466.0,1123155.0,726661.0
4555732.0,610090.0,1127131.0,728416.0
4444923.0,609607.0,1123155.0,730156.0
4415527.0,612594.0,1127131.0,730492.0
4496931.0,587948.0,1123155.0,726040.0
4405788.0,604424.0,1127131.0,730432.0
4485410.0,425672.0,1004591.0,730362.0
4453669.0,603148.0,1008567.0,730216.0
4409856.0,131867.0,618936.0,723245.0
4520036.0,610143.0,618792.0,738666.0
4588415.0,567536.0,617796.0,737969.0
4408533.0,606843.0,617796.0,717162.0
4453478.0,602415.0,617796.0,726241.0
4513793.0,595993.0,617796.0,747528.0
4571021.0,595592.0,617796.0,718481.0
4478250.0,607790.0,617796.0,768566.0
4572738.0,607686.0,617796.0,718357.0
4398297.0,606833.0,617796.0,765973.0
4485443.0,606801.0,617796.0,731102.0
4454604.0,609053.0,617796.0,755912.0
4426651.0,609091.0,617796.0,725817.0
4401623.0,610513.0,617796.0,733544.0
4290622.0,610614.0,617796.0,733773.0
3200922.0,604204.0,617796.0,723964.0
3109438.0,604491.0,617796.0,716929.0
