local,flowsim,ns3,m4
4504396.0,605039.0,1119750.0,712120.0
4485261.0,592242.0,1124749.0,717675.0
4510248.0,597924.0,1119750.0,736866.0
4390871.0,596418.0,1123831.0,728548.0
4576954.0,610024.0,1118297.0,724266.0
4441207.0,609459.0,1124902.0,719049.0
4511018.0,614896.0,1128078.0,727248.0
4478297.0,614639.0,1123653.0,727510.0
4477695.0,612339.0,1123354.0,719578.0
4450915.0,612243.0,1119319.0,468473.0
4457788.0,603212.0,1119795.0,723858.0
4437780.0,603270.0,1125653.0,783827.0
4449182.0,597713.0,1119816.0,722333.0
4512272.0,598143.0,1125653.0,788043.0
4492835.0,597560.0,1119816.0,717942.0
4435136.0,600172.0,1125653.0,785084.0
4463318.0,593501.0,1119816.0,720737.0
4390831.0,611746.0,1125653.0,800006.0
4476423.0,454325.0,1119816.0,724751.0
4472968.0,604772.0,1125653.0,718547.0
4457037.0,105616.0,1119816.0,714750.0
4412893.0,602302.0,1125653.0,728659.0
4451085.0,559759.0,1119816.0,450216.0
4461665.0,609953.0,1125653.0,733226.0
4437670.0,606441.0,1119816.0,720362.0
4533610.0,607627.0,1125653.0,792018.0
4529091.0,606879.0,1119816.0,718954.0
4458077.0,595973.0,1125653.0,776675.0
4540533.0,595901.0,1120621.0,749870.0
4505778.0,599317.0,1126468.0,769316.0
4457826.0,599420.0,1120610.0,726648.0
4399206.0,609492.0,1126450.0,790605.0
4588845.0,609808.0,1120613.0,734675.0
4449190.0,612516.0,1126450.0,733356.0
4556974.0,614146.0,1120613.0,723104.0
4450011.0,598854.0,1126464.0,726080.0
4509565.0,606299.0,1121517.0,733387.0
4375671.0,512031.0,1126450.0,728959.0
4455232.0,600939.0,1120613.0,727821.0
4475850.0,53601.0,1126450.0,734555.0
4478696.0,606801.0,1120613.0,734505.0
4442998.0,545416.0,1126450.0,732813.0
4505777.0,601793.0,1120613.0,724408.0
4519563.0,595547.0,1126450.0,726565.0
4538549.0,598231.0,1120613.0,719417.0
4532598.0,597723.0,1126450.0,718811.0
4418732.0,603066.0,1120613.0,721912.0
4516197.0,602926.0,1126450.0,718336.0
4482944.0,609952.0,1120613.0,726121.0
4481812.0,610009.0,1125546.0,446698.0
4425385.0,613096.0,1119808.0,727707.0
4503353.0,613296.0,1127665.0,812755.0
4464249.0,603042.0,1130046.0,724544.0
4449911.0,603670.0,1123569.0,794062.0
4439531.0,598479.0,1122375.0,725907.0
4455813.0,601720.0,1114697.0,793975.0
4419945.0,590336.0,1117102.0,713982.0
4507731.0,608833.0,1124755.0,732616.0
4448589.0,468227.0,1119756.0,726997.0
4380089.0,600879.0,1124749.0,716429.0
4580680.0,90296.0,1119750.0,733279.0
4496420.0,601570.0,1124749.0,724311.0
4567483.0,562662.0,1119750.0,729871.0
4439252.0,612849.0,1124749.0,750525.0
4528400.0,605453.0,1119750.0,727685.0
4495378.0,606490.0,1124749.0,737358.0
4435625.0,605038.0,1119750.0,720139.0
4413723.0,608112.0,1123831.0,734610.0
4433961.0,607979.0,1118297.0,733439.0
4631375.0,602573.0,1124902.0,722060.0
4567515.0,602729.0,1128078.0,724353.0
4553296.0,598754.0,1123653.0,724884.0
4533660.0,599912.0,1123354.0,731940.0
4533420.0,603960.0,1119319.0,736952.0
4435214.0,608762.0,1119795.0,721821.0
4422630.0,573693.0,1125653.0,723142.0
4501490.0,602535.0,1119816.0,731302.0
4418723.0,261321.0,1125653.0,736677.0
4421698.0,602858.0,1119816.0,731237.0
4447107.0,296588.0,1125653.0,729159.0
4457255.0,612391.0,1119816.0,727686.0
4475320.0,583081.0,1125653.0,727587.0
4469449.0,609922.0,1119816.0,725574.0
4521177.0,606593.0,1125653.0,722070.0
4490959.0,605146.0,1119816.0,727236.0
4456213.0,604766.0,1125653.0,731406.0
4516588.0,604055.0,1119816.0,731340.0
