dur_ns,ecdf
10894038,0.0013333333333333333
10894038,0.0026666666666666666
11036224,0.004
11181346,0.005333333333333333
11279093,0.006666666666666667
11345024,0.008
11389683,0.009333333333333334
11413918,0.010666666666666666
11443233,0.012
11465056,0.013333333333333334
11477792,0.014666666666666666
11489163,0.016
11504498,0.017333333333333333
11658347,0.018666666666666668
12309760,0.02
12997270,0.021333333333333333
13008174,0.02266666666666667
13026358,0.024
13026358,0.025333333333333333
13027228,0.02666666666666667
13033079,0.028
13038740,0.029333333333333333
13038740,0.030666666666666665
13039176,0.032
13039176,0.03333333333333333
13041095,0.034666666666666665
13045905,0.036
13045905,0.037333333333333336
13045918,0.03866666666666667
13046378,0.04
13046390,0.04133333333333333
13048354,0.042666666666666665
13049577,0.044
13050087,0.04533333333333334
13050087,0.04666666666666667
13050087,0.048
13050100,0.04933333333333333
13050548,0.050666666666666665
13050560,0.052
13054060,0.05333333333333334
13054060,0.05466666666666667
13054060,0.056
13054073,0.05733333333333333
13054521,0.058666666666666666
13054533,0.06
13055019,0.06133333333333333
13057243,0.06266666666666666
13057243,0.064
13057254,0.06533333333333333
13057254,0.06666666666666667
13057255,0.068
13057715,0.06933333333333333
13057715,0.07066666666666667
13058150,0.072
13058599,0.07333333333333333
13058599,0.07466666666666667
13058612,0.076
13058624,0.07733333333333334
13058624,0.07866666666666666
13058624,0.08
13059072,0.08133333333333333
13059084,0.08266666666666667
13060171,0.084
13060171,0.08533333333333333
13060184,0.08666666666666667
13060184,0.088
13060184,0.08933333333333333
13060184,0.09066666666666667
13060632,0.092
13060644,0.09333333333333334
13061409,0.09466666666666666
13061409,0.096
13061409,0.09733333333333333
13061422,0.09866666666666667
13061422,0.1
13061422,0.10133333333333333
13061422,0.10266666666666667
13061831,0.104
13061843,0.10533333333333333
13061843,0.10666666666666667
13061844,0.108
13061844,0.10933333333333334
13061844,0.11066666666666666
13061844,0.112
13061870,0.11333333333333333
13061882,0.11466666666666667
13062304,0.116
13062304,0.11733333333333333
13062536,0.11866666666666667
13062536,0.12
13062548,0.12133333333333333
13062561,0.12266666666666666
13062561,0.124
13062561,0.12533333333333332
13062561,0.12666666666666668
13063009,0.128
13063021,0.12933333333333333
13063026,0.13066666666666665
13063187,0.132
13063187,0.13333333333333333
13063188,0.13466666666666666
13063200,0.136
13063200,0.13733333333333334
13063200,0.13866666666666666
13063200,0.14
13063648,0.14133333333333334
13063660,0.14266666666666666
13064265,0.144
13064265,0.14533333333333334
13064278,0.14666666666666667
13064278,0.148
13064278,0.14933333333333335
13064278,0.15066666666666667
13064278,0.152
13064419,0.15333333333333332
13064435,0.15466666666666667
13064447,0.156
13064447,0.15733333333333333
13064448,0.15866666666666668
13064448,0.16
13064448,0.16133333333333333
13064448,0.16266666666666665
13064448,0.164
13064726,0.16533333333333333
13064738,0.16666666666666666
13064773,0.168
13064773,0.16933333333333334
13064786,0.17066666666666666
13064798,0.172
13064798,0.17333333333333334
13064798,0.17466666666666666
13064798,0.176
13064798,0.17733333333333334
13064869,0.17866666666666667
13064869,0.18
13064882,0.18133333333333335
13064882,0.18266666666666667
13064882,0.184
13064882,0.18533333333333332
13064882,0.18666666666666668
13064882,0.188
13064908,0.18933333333333333
13064908,0.19066666666666668
13064988,0.192
13064988,0.19333333333333333
13065001,0.19466666666666665
13065001,0.196
13065001,0.19733333333333333
13065001,0.19866666666666666
13065001,0.2
13065001,0.20133333333333334
13065246,0.20266666666666666
13065258,0.204
13065330,0.20533333333333334
13065342,0.20666666666666667
13065381,0.208
13065381,0.20933333333333334
13065382,0.21066666666666667
13065382,0.212
13065382,0.21333333333333335
13065382,0.21466666666666667
13065382,0.216
13065382,0.21733333333333332
13065449,0.21866666666666668
13065461,0.22
13065686,0.22133333333333333
13065842,0.22266666666666668
13065842,0.224
13065853,0.22533333333333333
13065853,0.22666666666666666
13065878,0.228
13065878,0.22933333333333333
13065878,0.23066666666666666
13065878,0.232
13065878,0.23333333333333334
13065878,0.23466666666666666
13066326,0.236
13066338,0.23733333333333334
13066450,0.23866666666666667
13066450,0.24
13066463,0.24133333333333334
13066463,0.24266666666666667
13066463,0.244
13066463,0.24533333333333332
13066463,0.24666666666666667
13066463,0.248
13066775,0.24933333333333332
13066775,0.25066666666666665
13066776,0.252
13066788,0.25333333333333335
13066788,0.25466666666666665
13066788,0.256
13066788,0.25733333333333336
13066788,0.25866666666666666
13066788,0.26
13066818,0.2613333333333333
13066818,0.26266666666666666
13066819,0.264
13066819,0.2653333333333333
13066819,0.26666666666666666
13066819,0.268
13066819,0.2693333333333333
13066819,0.27066666666666667
13066819,0.272
13066844,0.2733333333333333
13066844,0.27466666666666667
13066856,0.276
13066868,0.2773333333333333
13066880,0.2786666666666667
13066881,0.28
13066892,0.2813333333333333
13066904,0.2826666666666667
13066911,0.284
13066916,0.2853333333333333
13066923,0.2866666666666667
13066930,0.288
13066942,0.28933333333333333
13066954,0.2906666666666667
13066966,0.292
13066978,0.29333333333333333
13066988,0.2946666666666667
13066988,0.296
13066990,0.29733333333333334
13067004,0.2986666666666667
13067004,0.3
13067004,0.30133333333333334
13067016,0.30266666666666664
13067028,0.304
13067040,0.30533333333333335
13067052,0.30666666666666664
13067053,0.308
13067064,0.30933333333333335
13067093,0.31066666666666665
13067117,0.312
13067129,0.31333333333333335
13067141,0.31466666666666665
13067153,0.316
13067165,0.31733333333333336
13067167,0.31866666666666665
13067167,0.32
13067177,0.32133333333333336
13067216,0.32266666666666666
13067216,0.324
13067216,0.3253333333333333
13067216,0.32666666666666666
