mix_id,flow_id,size,slowdown,sim
87,0,472,1.0,Ns3
87,1,446,1.0,Ns3
87,2,652,1.0,Ns3
87,4,73,1.0,Ns3
87,5,511,1.0,Ns3
87,8,542,1.0,Ns3
87,9,73,1.0,Ns3
87,10,843,1.0,Ns3
87,6,44740,2.0045665212649943,Ns3
87,3,227141,1.1941008415539247,Ns3
87,16,3426,1.0169284467713786,Ns3
87,13,23038,1.3053201082055905,Ns3
87,20,459,1.0487544483985765,Ns3
87,21,299,1.5305403288958497,Ns3
87,12,118453,1.0018801041891072,Ns3
87,23,36490,1.9662339992822109,Ns3
87,17,84625,1.7472754506482102,Ns3
87,11,201656,1.0000058194345838,Ns3
87,14,145484,1.7459225954333069,Ns3
87,22,260756,1.2308637513552585,Ns3
87,18,565189,1.0,Ns3
87,26,453,1.2489285714285714,Ns3
87,27,4789,1.3061670797492346,Ns3
87,30,168,1.023037542662116,Ns3
87,29,325,1.300462249614792,Ns3
87,33,1256,1.0001316829075586,Ns3
87,38,76,1.0,Ns3
87,36,461,1.1802890310352996,Ns3
87,40,159,1.0,Ns3
87,39,17212,1.0444740038170146,Ns3
87,41,438,1.0,Ns3
87,43,1650,1.094079060935612,Ns3
87,47,3687,1.2564404781949823,Ns3
87,51,823,1.0,Ns3
87,28,143201,1.5145356881256613,Ns3
87,45,25942,1.0000406851377193,Ns3
87,53,764,1.0,Ns3
87,37,87289,1.76697407022483,Ns3
87,54,344,1.0,Ns3
87,46,109258,1.0193171227653985,Ns3
87,35,125270,1.8650621424344052,Ns3
87,55,475,1.482722143864598,Ns3
87,42,103591,2.570185746387119,Ns3
87,57,444,1.1048097631012204,Ns3
87,58,26307,1.1174274358665544,Ns3
87,65,495,1.0216178521617851,Ns3
87,63,471,1.0720848056537102,Ns3
87,67,685,1.1796973518284994,Ns3
87,68,230,1.2332242225859247,Ns3
87,48,279091,1.0517043294614572,Ns3
87,73,344,1.0,Ns3
87,25,312822,2.145847058604582,Ns3
87,70,454,1.922436354984535,Ns3
87,72,1585,1.6123634471995838,Ns3
87,76,715,1.0,Ns3
87,78,444,1.1861689399377842,Ns3
87,71,30955,2.4831132731063237,Ns3
87,79,149,1.5121002592912705,Ns3
87,64,47897,2.6975034319086064,Ns3
87,82,469,1.1538098608162302,Ns3
87,44,226280,1.9533859423747477,Ns3
87,81,3919,4.916734693877551,Ns3
87,77,17790,3.565442523699514,Ns3
87,74,110970,1.6726458802905084,Ns3
87,86,4695,1.0,Ns3
87,85,350,2.269347496206373,Ns3
87,52,112050,5.258105720102954,Ns3
87,90,1762,1.000231320842008,Ns3
87,88,1236,3.596873398257304,Ns3
87,89,12438,1.4873509741203839,Ns3
87,92,10459,2.456508646648886,Ns3
87,91,6394,3.2876839007986547,Ns3
87,34,314782,2.623461138383488,Ns3
87,87,64207,1.652797628500344,Ns3
87,62,252372,1.985570261582746,Ns3
87,15,1838075,1.3282896356873468,Ns3
87,96,327,1.1888461538461539,Ns3
87,94,29460,1.3798010600450157,Ns3
87,84,173555,1.9769309614684343,Ns3
87,83,233708,1.7320529854652333,Ns3
87,32,561983,1.9159105760530812,Ns3
87,97,328,1.2565384615384616,Ns3
87,60,725610,1.1156103805118234,Ns3
87,100,221162,1.0000053134115823,Ns3
87,101,236037,1.0000049832314262,Ns3
87,102,9370,1.0403210752286727,Ns3
87,106,71,1.0164383561643835,Ns3
87,109,325,1.097457627118644,Ns3
87,108,76,1.354564755838641,Ns3
87,110,336,1.106860494771742,Ns3
87,107,38472,1.0321099734351225,Ns3
87,112,335,1.408244002041858,Ns3
