local,flowsim,ns3,m4
5881547.0,1315459.0,2908452.0,975614.0
5995984.0,1320788.0,2911880.0,1003348.0
6057339.0,1320765.0,2915308.0,964130.0
6018266.0,1317483.0,2918724.0,965775.0
5948012.0,1289327.0,2908452.0,968071.0
5948975.0,1321297.0,2911880.0,1001061.0
5941771.0,1321315.0,2915308.0,965228.0
5900112.0,1320123.0,2918724.0,979742.0
5893930.0,1118800.0,2908452.0,954006.0
5964834.0,1313647.0,2911880.0,1001396.0
5931160.0,1313771.0,2915308.0,970586.0
6057631.0,1313464.0,2918724.0,968613.0
5962159.0,717160.0,2908452.0,963714.0
5967329.0,1311357.0,2911880.0,1002901.0
5950617.0,1311563.0,2915308.0,959560.0
5948744.0,1311371.0,2918724.0,948850.0
6014539.0,805932.0,2908452.0,968486.0
5987056.0,1312845.0,2911880.0,998374.0
6023515.0,1313850.0,2915308.0,959447.0
6041400.0,1313836.0,2918724.0,960678.0
6095973.0,1241914.0,2908452.0,965112.0
5970054.0,1321768.0,2911880.0,1010228.0
5959374.0,1324828.0,2915308.0,962232.0
6013647.0,1324821.0,2918724.0,968518.0
6016352.0,1310567.0,2908452.0,958221.0
5990493.0,1306773.0,2911880.0,1019548.0
6050076.0,1321654.0,2915308.0,962536.0
5206928.0,1321736.0,2918724.0,959404.0
6838541.0,1318907.0,2908452.0,958765.0
5960295.0,1233277.0,2911880.0,1023647.0
5921402.0,1314240.0,2915308.0,975918.0
6003148.0,1314474.0,2918724.0,978825.0
5981636.0,1313761.0,2908452.0,957759.0
6029667.0,658397.0,2911880.0,1029660.0
5952421.0,1310114.0,2915308.0,966846.0
6015601.0,1310859.0,2918724.0,954017.0
5933826.0,1310663.0,2908452.0,971853.0
5997836.0,719560.0,2911880.0,1033655.0
6030589.0,1306500.0,2915308.0,952718.0
5953413.0,1309212.0,2918724.0,951697.0
5896545.0,1309153.0,2908452.0,956380.0
5966767.0,1247751.0,2911880.0,1041350.0
6040416.0,1300141.0,2915308.0,959539.0
5941048.0,1311346.0,2918724.0,954500.0
6051047.0,1311315.0,2908452.0,971114.0
6091152.0,1297760.0,2911880.0,966443.0
5947249.0,1246970.0,2915308.0,951151.0
5923094.0,1312437.0,2918724.0,953334.0
5995180.0,1312453.0,2908452.0,611015.0
5917794.0,1309619.0,2911880.0,997976.0
5995821.0,220435.0,2915308.0,958674.0
5943422.0,1314665.0,2918724.0,964105.0
5932041.0,1314700.0,2908452.0,960320.0
5964011.0,1313906.0,2911880.0,1023193.0
6060754.0,1091904.0,2915308.0,969755.0
5949133.0,1317844.0,2918724.0,958995.0
5956828.0,1318072.0,2908452.0,957973.0
5975583.0,1317859.0,2911880.0,1004958.0
6043061.0,1294283.0,2915308.0,983055.0
5923183.0,1321794.0,2918724.0,962088.0
6083678.0,1322626.0,2908452.0,982897.0
5954123.0,1322553.0,2911880.0,984934.0
6004649.0,1318370.0,2915308.0,979065.0
6017993.0,1320559.0,2918724.0,955481.0
6007544.0,1324985.0,2908452.0,950610.0
5991203.0,1324969.0,2911880.0,982367.0
5995882.0,1323834.0,2915308.0,959515.0
5966746.0,1293262.0,2918724.0,953398.0
6045616.0,1323075.0,2908452.0,951922.0
5975543.0,1323111.0,2911880.0,980663.0
5704550.0,1322767.0,2915308.0,953349.0
5945206.0,923768.0,2918724.0,958273.0
6033132.0,1318224.0,2908452.0,965490.0
6033964.0,1318384.0,2911880.0,1015150.0
6023364.0,1318271.0,2915308.0,955880.0
5239709.0,370530.0,2918724.0,958323.0
6805726.0,1310978.0,2908452.0,972014.0
5995972.0,1311581.0,2911880.0,970453.0
5944555.0,1311599.0,2915308.0,952717.0
5946438.0,1269684.0,2918724.0,962854.0
5954163.0,1311478.0,2908452.0,973920.0
5924917.0,1312497.0,2911880.0,964338.0
6027682.0,1312503.0,2915308.0,959483.0
5962007.0,1303536.0,2918724.0,954615.0
5910710.0,1305495.0,2908452.0,956065.0
6002063.0,1313090.0,2911880.0,957407.0
5778009.0,1313289.0,2915308.0,959497.0
6075963.0,1311616.0,2918724.0,944784.0
5943433.0,1237550.0,2908452.0,975103.0
5921360.0,1317189.0,2911880.0,965594.0
5968360.0,1317552.0,2915308.0,962666.0
5974501.0,1317014.0,2918724.0,957393.0
5913385.0,170967.0,2908452.0,970032.0
5992295.0,1309943.0,2911880.0,954985.0
6057268.0,1311236.0,2915308.0,966369.0
5979811.0,1311120.0,2918724.0,958826.0
5901002.0,1148306.0,2908452.0,964274.0
5998717.0,1305850.0,2911880.0,957483.0
5915149.0,1310660.0,2915308.0,956786.0
5998597.0,1310613.0,2918724.0,959231.0
5914447.0,1286447.0,2908452.0,966726.0
5972908.0,1280314.0,2911880.0,978136.0
5892165.0,1308848.0,2915308.0,956802.0
5919567.0,1308838.0,2918724.0,964407.0
5881495.0,1304169.0,2908452.0,960331.0
6049293.0,1074868.0,2911880.0,956905.0
5923154.0,1312033.0,2915308.0,959301.0
5946327.0,1312041.0,2918724.0,973742.0
5925769.0,1310787.0,2908452.0,962006.0
5938162.0,269360.0,2911880.0,969855.0
5918735.0,1317537.0,2915308.0,971041.0
5915299.0,1317591.0,2918724.0,976129.0
6040316.0,1317274.0,2908452.0,953066.0
5904499.0,1223302.0,2911880.0,971489.0
5953441.0,1323491.0,2915308.0,959362.0
6018925.0,1323636.0,2918724.0,973155.0
6002194.0,1323570.0,2908452.0,952847.0
5886836.0,1311227.0,2911880.0,987924.0
5916060.0,1318653.0,2915308.0,956176.0
5918806.0,1319126.0,2918724.0,972653.0
6049183.0,1319308.0,2908452.0,968219.0
5971095.0,1317590.0,2911880.0,956688.0
5946248.0,1314053.0,2915308.0,960067.0
5971125.0,1317561.0,2918724.0,964540.0
5946157.0,1318335.0,2908452.0,956925.0
5993758.0,1317898.0,2911880.0,964625.0
5919607.0,1277953.0,2915308.0,954622.0
5979961.0,1321504.0,2918724.0,960724.0
6002054.0,1323567.0,2908452.0,965145.0
5923955.0,1323353.0,2911880.0,962979.0
6001382.0,667488.0,2915308.0,970338.0
5909788.0,1314895.0,2918724.0,950193.0
5967478.0,1320292.0,2908452.0,951910.0
5919597.0,1320227.0,2911880.0,979297.0
6005620.0,628397.0,2915308.0,950939.0
5910691.0,1291719.0,2918724.0,973592.0
5975423.0,1311393.0,2908452.0,967464.0
5962168.0,1311401.0,2911880.0,960379.0
6026259.0,1278093.0,2915308.0,959755.0
5675215.0,1237670.0,2918724.0,970332.0
5297959.0,1303589.0,2908452.0,963219.0
5150279.0,1303694.0,2911880.0,958293.0
4911707.0,1300747.0,2915308.0,956033.0
