sweep,time_ms
10000_1,2162.356
10000_2,1109.175
10000_4,559.893
1000_1,2111.275
1000_2,1083.522
1000_4,545.399
100_1,227.224
100_2,113.258
100_4,55.892
200_1,430.502
200_2,216.831
200_4,107.709
250_1,532.639
250_2,269.254
250_4,133.841
300_1,635.989
300_2,321.705
300_4,160.495
400_1,844.592
400_2,427.906
400_4,214.154
500_1,1053.948
500_2,535.419
500_4,268.488
650_1,1369.395
650_2,698.758
650_4,350.460
750_1,1580.613
750_2,807.825
750_4,405.748
900_1,1898.189
900_2,973.231
900_4,489.314
