local,flowsim,ns3,m4
7079280.0,1813748.0,3363381.0,1123390.0
6718555.0,1813711.0,3363963.0,1126882.0
6828954.0,1813104.0,3364845.0,1217190.0
6804077.0,1440104.0,3365727.0,1123756.0
6919496.0,1814086.0,3363381.0,1115647.0
6885011.0,1814077.0,3363963.0,1120012.0
6829095.0,1813848.0,3364845.0,1171104.0
6831790.0,1421918.0,3365727.0,1115912.0
6926649.0,1817728.0,3363381.0,1120086.0
6821070.0,1817770.0,3363963.0,1127278.0
6883097.0,1817688.0,3364845.0,1217643.0
6960424.0,1233452.0,3365727.0,1113018.0
6911491.0,1827842.0,3363381.0,1125081.0
6971204.0,1828024.0,3363963.0,1127690.0
6963059.0,1827999.0,3364845.0,1217428.0
5711994.0,1762706.0,3365727.0,1116884.0
8447507.0,1832010.0,3363381.0,1120308.0
6918083.0,1832414.0,3363963.0,1110792.0
6947981.0,1832417.0,3364845.0,1220210.0
6861055.0,1823863.0,3365727.0,1118715.0
7076685.0,1832765.0,3363381.0,1118322.0
6879842.0,1834382.0,3363963.0,1112921.0
6903927.0,1834423.0,3364845.0,1221017.0
6915168.0,1832004.0,3365727.0,1120034.0
7015589.0,1831881.0,3363381.0,1123024.0
5761077.0,1837071.0,3363963.0,1116272.0
8245394.0,1837145.0,3364845.0,1122119.0
6892385.0,1836312.0,3365727.0,1111763.0
6943642.0,1798057.0,3363381.0,1132861.0
6954322.0,1832159.0,3363963.0,1113859.0
6923163.0,1832334.0,3364845.0,1153497.0
6959652.0,1832019.0,3365727.0,1123969.0
5695232.0,1555563.0,3363381.0,1118956.0
8141567.0,1825168.0,3363963.0,1137058.0
6854963.0,1825527.0,3364845.0,1110947.0
6929395.0,1825376.0,3365727.0,1117373.0
6937420.0,587636.0,3363381.0,1129763.0
6874421.0,1816802.0,3363963.0,1110988.0
6934785.0,1818042.0,3364845.0,1114195.0
6972788.0,1818073.0,3365727.0,1146007.0
12534405.0,1512292.0,3363381.0,1120602.0
7944913.0,1813446.0,3363963.0,1131702.0
6896492.0,1817475.0,3364845.0,1112856.0
6947881.0,1817551.0,3365727.0,1123293.0
6964932.0,1752890.0,3363381.0,1141987.0
6823944.0,1803775.0,3363963.0,1115848.0
5634777.0,1816837.0,3364845.0,1119924.0
8254220.0,1816978.0,3365727.0,1118528.0
6913525.0,1803482.0,3363381.0,1133644.0
6933984.0,1779879.0,3363963.0,1116455.0
6886794.0,1814232.0,3364845.0,1110743.0
5412134.0,1814419.0,3365727.0,1107203.0
5978660.0,1810855.0,3363381.0,1133825.0
5872459.0,1668138.0,3363963.0,1103589.0
5324178.0,1811667.0,3364845.0,1121962.0
3906045.0,1812159.0,3365727.0,1119842.0
4233827.0,1811349.0,3363381.0,1114296.0
3277883.0,1237491.0,3363963.0,1127583.0
3066762.0,1821465.0,3364845.0,1126218.0
3075529.0,1822729.0,3365727.0,1108037.0
3652113.0,1822449.0,3363381.0,1111267.0
3926434.0,933908.0,3363963.0,1143873.0
3729430.0,1821981.0,3364845.0,1116098.0
3761211.0,1825233.0,3365727.0,1119542.0
4344387.0,1825115.0,3363381.0,1130719.0
3697049.0,1599535.0,3363963.0,1159656.0
3685787.0,1816081.0,3364845.0,1116586.0
3601437.0,1830618.0,3365727.0,1125070.0
3602278.0,1830588.0,3363381.0,1170219.0
3709723.0,1798909.0,3363963.0,1198365.0
3656502.0,1765355.0,3364845.0,1122393.0
3684786.0,1824149.0,3365727.0,1119786.0
3569546.0,1824141.0,3363381.0,1176968.0
3711456.0,1819935.0,3363963.0,1209608.0
3699894.0,1475304.0,3364845.0,1117735.0
3828428.0,1822113.0,3365727.0,1114240.0
3862012.0,1822116.0,3363381.0,1181719.0
3760790.0,1820862.0,3363963.0,1215514.0
3229101.0,1342444.0,3364845.0,1116729.0
3737165.0,1818619.0,3365727.0,1126010.0
3547845.0,1818628.0,3363381.0,1181757.0
3974455.0,1818153.0,3363963.0,1220409.0
3682400.0,1428694.0,3364845.0,1150496.0
3619341.0,1815511.0,3365727.0,1130289.0
3933397.0,1815535.0,3363381.0,1179226.0
4094543.0,1815327.0,3363963.0,1224123.0
3405385.0,1389498.0,3364845.0,1130926.0
4125562.0,1818818.0,3365727.0,1133871.0
3613941.0,1818908.0,3363381.0,1184161.0
3709713.0,1818867.0,3363963.0,1224818.0
3608591.0,1645297.0,3364845.0,1117069.0
3709352.0,1826667.0,3365727.0,1116350.0
3586438.0,1827026.0,3363381.0,1183275.0
3599743.0,1827088.0,3363963.0,1150583.0
3612939.0,1796002.0,3364845.0,1105495.0
3585567.0,1831086.0,3365727.0,1121762.0
3698061.0,1832911.0,3363381.0,1202059.0
3708831.0,1833117.0,3363963.0,1136522.0
3700676.0,1826858.0,3364845.0,1109573.0
3619201.0,1821335.0,3365727.0,1126386.0
3601437.0,1834417.0,3363381.0,1211445.0
3797630.0,1834907.0,3363963.0,1210263.0
3861742.0,1833198.0,3364845.0,1109454.0
3781198.0,1743120.0,3365727.0,1115537.0
3396437.0,1831619.0,3363381.0,1213717.0
3691128.0,1832906.0,3363963.0,1206900.0
3932646.0,1832312.0,3364845.0,1125811.0
3755590.0,458185.0,3365727.0,1114572.0
3797590.0,1825735.0,3363381.0,1214847.0
3878252.0,1829706.0,3363963.0,1219572.0
3146173.0,1829509.0,3364845.0,1121224.0
3807137.0,1407178.0,3365727.0,1112084.0
3382421.0,1815764.0,3363381.0,1212591.0
3710694.0,1827756.0,3363963.0,1135486.0
3735542.0,1827647.0,3364845.0,1117868.0
3697409.0,1789384.0,3365727.0,1127099.0
3695657.0,1778168.0,3363381.0,1218707.0
3713370.0,1821904.0,3363963.0,1101163.0
3663776.0,1821925.0,3364845.0,1120927.0
3738147.0,1818797.0,3365727.0,707246.0
3731954.0,1611466.0,3363381.0,1138294.0
3689384.0,1818720.0,3363963.0,1120502.0
3695446.0,1818797.0,3364845.0,1120492.0
11320422.0,1818128.0,3365727.0,1120843.0
2983183.0,1354671.0,3363381.0,1193246.0
3787791.0,1819124.0,3363963.0,1118575.0
3892770.0,1819305.0,3364845.0,1134117.0
4017527.0,1819102.0,3365727.0,1122439.0
3297099.0,1408749.0,3363381.0,1142964.0
3237967.0,1819770.0,3363963.0,1112925.0
3135933.0,1820026.0,3364845.0,1105711.0
3034361.0,1819945.0,3365727.0,1129340.0
3040493.0,1291860.0,3363381.0,1174643.0
3043308.0,1821511.0,3363963.0,1111414.0
3039641.0,1822290.0,3364845.0,1105835.0
3024682.0,1822260.0,3365727.0,1130532.0
3029922.0,1597427.0,3363381.0,1209181.0
3042325.0,1826583.0,3363963.0,1134964.0
3034431.0,1829184.0,3364845.0,1132979.0
3029972.0,1829174.0,3365727.0,1114672.0
3037798.0,1802138.0,3363381.0,1184378.0
3034300.0,1819887.0,3363963.0,1107637.0
3040553.0,1826495.0,3364845.0,1107084.0
3040192.0,1826493.0,3365727.0,1127436.0
3030654.0,1821409.0,3363381.0,1105843.0
