local,flowsim,ns3,m4
6932566.0,1813742.0,3366195.0,1116742.0
6827367.0,1813748.0,3367090.0,1133074.0
6812258.0,1813566.0,3367378.0,1108516.0
6952163.0,1448339.0,3367678.0,1223287.0
6904513.0,1814070.0,3366195.0,721019.0
6946442.0,1814088.0,3367090.0,1111558.0
6960941.0,1813997.0,3367378.0,1134308.0
7323649.0,1431236.0,3367678.0,1211002.0
6768946.0,1817674.0,3366195.0,1219815.0
6908961.0,1817732.0,3367090.0,1127039.0
6938868.0,1817734.0,3367378.0,1123762.0
6917687.0,1714177.0,3367678.0,1216413.0
6903761.0,1827500.0,3366195.0,1221567.0
6890686.0,1827860.0,3367090.0,1117917.0
6872573.0,1828016.0,3367378.0,1113805.0
6969165.0,1804015.0,3367678.0,1216110.0
6980186.0,1829447.0,3366195.0,1221922.0
5657804.0,1832070.0,3367090.0,1132900.0
8152293.0,1832422.0,3367378.0,1112332.0
6882300.0,1827198.0,3367678.0,1216992.0
6938918.0,1801342.0,3366195.0,1109982.0
6864497.0,1833209.0,3367090.0,1115181.0
6935912.0,1834424.0,3367378.0,1133307.0
6950850.0,1832607.0,3367678.0,1149526.0
5667443.0,1250625.0,3366195.0,1112933.0
8187890.0,1834039.0,3367090.0,1116223.0
6926014.0,1837146.0,3367378.0,1124763.0
6883263.0,1836428.0,3367678.0,1119548.0
6904533.0,567055.0,3366195.0,1155641.0
6950470.0,1822283.0,3367090.0,1111597.0
6879545.0,1832335.0,3367378.0,1121276.0
6854056.0,1832047.0,3367678.0,1138442.0
6933628.0,1778542.0,3366195.0,1133759.0
5094345.0,1800234.0,3367090.0,1108443.0
8233797.0,1825526.0,3367378.0,1108304.0
6897449.0,1825384.0,3367678.0,1126869.0
6944528.0,1823095.0,3366195.0,1114626.0
6954839.0,1697663.0,3367090.0,1109967.0
6902618.0,1818038.0,3367378.0,1110820.0
5758897.0,1818074.0,3367678.0,1111614.0
8187770.0,1817833.0,3366195.0,1108808.0
6910435.0,1401393.0,3367090.0,1115482.0
6855900.0,1817466.0,3367378.0,1115427.0
6929421.0,1817552.0,3367678.0,1128424.0
5413721.0,1817475.0,3366195.0,1117304.0
5976670.0,1381613.0,3367090.0,1109018.0
5917739.0,1816823.0,3367378.0,1112009.0
4607269.0,1816978.0,3367678.0,1121013.0
4624923.0,1816953.0,3366195.0,1117827.0
4381231.0,1435906.0,3367090.0,1123176.0
4052997.0,1814206.0,3367378.0,1112683.0
3866432.0,1814419.0,3367678.0,1127360.0
3793060.0,1814409.0,3366195.0,1107410.0
3740911.0,1422284.0,3367090.0,1110025.0
3618919.0,1811597.0,3367378.0,1113317.0
3778081.0,1812159.0,3367678.0,1116082.0
3183463.0,1812158.0,3366195.0,1128713.0
3609251.0,1709341.0,3367090.0,1134146.0
3694142.0,1821239.0,3367378.0,1117469.0
3752453.0,1822728.0,3367678.0,1126125.0
3653274.0,1822729.0,3366195.0,1131560.0
3773663.0,1793395.0,3367090.0,1118005.0
3699302.0,1821001.0,3367378.0,1126311.0
3706536.0,1825233.0,3367678.0,1107699.0
3692399.0,1825233.0,3366195.0,1105894.0
3689533.0,1816994.0,3367090.0,1120844.0
3686858.0,1810378.0,3367378.0,1118513.0
3789753.0,1830614.0,3367678.0,1121923.0
3904542.0,1830618.0,3366195.0,1138863.0
3852653.0,1828113.0,3367090.0,1109767.0
4141291.0,1707478.0,3367378.0,1118940.0
3545600.0,1824140.0,3367678.0,1116404.0
3869064.0,1824151.0,3366195.0,1118628.0
3549588.0,1823420.0,3367090.0,1116799.0
3907367.0,1203622.0,3367378.0,1127997.0
3817757.0,1822088.0,3367678.0,1116343.0
3156701.0,1822120.0,3366195.0,1106554.0
3878061.0,1821794.0,3367090.0,1117316.0
4324999.0,1344733.0,3367378.0,1121820.0
2840041.0,1818550.0,3367678.0,1115551.0
3701005.0,1818629.0,3366195.0,1114264.0
3695795.0,1818454.0,3367090.0,1116443.0
3708258.0,1430982.0,3367378.0,1121089.0
3702959.0,1815317.0,3367678.0,1120467.0
3650549.0,1815534.0,3366195.0,1116090.0
3755930.0,1815437.0,3367090.0,1105430.0
3695705.0,1584339.0,3367378.0,1112394.0
3699302.0,1817803.0,3367678.0,1111912.0
3699893.0,1818898.0,3366195.0,1116273.0
3678543.0,1818910.0,3367090.0,1120728.0
3706005.0,1763218.0,3367378.0,1122104.0
3700163.0,1818506.0,3367678.0,1112500.0
3774515.0,1827001.0,3366195.0,1121060.0
3842634.0,1827107.0,3367090.0,1110327.0
3861219.0,1812320.0,3367378.0,1122308.0
4128537.0,1763378.0,3367678.0,1122571.0
3430281.0,1832853.0,3366195.0,1117035.0
3346242.0,1833124.0,3367090.0,1137523.0
4074625.0,1829132.0,3367378.0,1123156.0
4025020.0,302400.0,3367678.0,1132229.0
3880415.0,1834258.0,3366195.0,1119037.0
4088650.0,1834910.0,3367090.0,1104037.0
3779604.0,1833636.0,3367378.0,1113219.0
3793030.0,1515284.0,3367678.0,1115521.0
3706044.0,1831063.0,3366195.0,1126328.0
3716595.0,1832906.0,3367090.0,1119918.0
3606766.0,1832422.0,3367378.0,1125881.0
3695384.0,1818797.0,3367678.0,1118212.0
3705984.0,1823429.0,3366195.0,1110852.0
3569506.0,1829701.0,3367090.0,1136723.0
3706144.0,1829540.0,3367378.0,1112384.0
3694654.0,1828406.0,3367678.0,1124591.0
3694462.0,1804202.0,3366195.0,1113748.0
3716645.0,1827746.0,3367090.0,1133225.0
3623748.0,1827660.0,3367378.0,1143153.0
3265819.0,1827437.0,3367678.0,1128215.0
3391898.0,1697343.0,3366195.0,1114956.0
3894312.0,1821873.0,3367090.0,1125302.0
4074193.0,1821928.0,3367378.0,1121189.0
4123006.0,1821890.0,3367678.0,1118730.0
3822526.0,1320133.0,3366195.0,1130116.0
3324761.0,1818647.0,3367090.0,1123972.0
3113008.0,1818800.0,3367378.0,1143540.0
3160910.0,1818787.0,3367678.0,1123212.0
3047544.0,1354697.0,3366195.0,1112289.0
3050350.0,1818911.0,3367090.0,1119455.0
3052174.0,1819305.0,3367378.0,1133126.0
3056662.0,1819303.0,3367678.0,1123135.0
3049569.0,1408776.0,3366195.0,1120537.0
3050330.0,1819227.0,3367090.0,1106819.0
3047474.0,1820025.0,3367378.0,1123860.0
3053736.0,1820025.0,3367678.0,1125222.0
3049468.0,1499933.0,3366195.0,1119329.0
3049358.0,1818775.0,3367090.0,1137312.0
3046643.0,1822287.0,3367378.0,1102760.0
3054909.0,1822289.0,3367678.0,1115797.0
3054898.0,1759403.0,3366195.0,1113345.0
3047665.0,1804621.0,3367090.0,1114723.0
2431064.0,1829173.0,3367378.0,1123800.0
2082402.0,1829184.0,3367678.0,1124944.0
2307860.0,1816304.0,3366195.0,1112067.0
2266923.0,1692468.0,3367090.0,1127830.0
1867675.0,1826471.0,3367378.0,1131047.0
