sweep,time_ms
10000_1,1937.894
10000_2,949.764
10000_4,503.194
1000_1,1897.334
1000_2,928.731
1000_4,491.812
100_1,341.264
100_2,207.542
100_4,117.975
200_1,505.763
200_2,301.178
200_4,175.663
250_1,586.221
250_2,344.663
250_4,201.918
300_1,668.726
300_2,385.778
300_4,230.692
400_1,841.240
400_2,459.119
400_4,270.319
500_1,1006.230
500_2,537.268
500_4,312.453
650_1,1284.687
650_2,659.409
650_4,370.241
750_1,1460.888
750_2,735.623
750_4,405.946
900_1,1719.310
900_2,854.333
900_4,456.409
