sweep,time_in_milliseconds
1000_1,889.485539
1000_2,890.72567
1000_4,887.398282
100_2,90.171619
100_4,96.019059
250_1,224.263017
250_2,224.911603
250_4,224.310018
300_1,270.461689
300_2,269.064509
300_4,269.458137
400_1,356.413433
400_2,355.894886
400_4,358.233685
500_1,445.950261
500_2,446.09454
500_4,445.037196
650_1,578.141832
650_2,579.996988
650_4,579.076705
750_1,668.516169
750_2,668.591118
750_4,667.602024
900_1,800.490829
900_2,800.54039
900_4,802.647052
