id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1
143,Matrix B,CacheFollower,1.0,0.6195808254213897,0.6238857635404568,0.5182985998257874,2-to-1,0.055953924705533294,0.024072441519899263,21711.0,1.0,5.340955837818314
144,Matrix A,Hadoop,2.0,0.3881829176457554,0.39461252711750094,0.2535753882347755,4-to-1,0.06727043125982386,-0.175426488737304,29846.0,1.0,17.77437440635671
145,Matrix C,WebServer,1.0,0.5497249697782385,0.5744100630620372,0.2750376630863086,4-to-1,0.03375375512353239,-0.012872831483936774,23147.0,1.0,12.322237397552868
146,Matrix B,WebServer,2.0,0.4873949190368663,0.4960593535552937,0.4071454885454842,2-to-1,0.0726523599618667,-0.1858648292430038,12993.0,1.0,12.775376430662696
147,Matrix A,Hadoop,1.0,0.3726029934923354,0.3931143231167012,0.3492118100544547,2-to-1,0.07258250562452506,-0.0439234308098859,20950.0,0.0,12.059336790170029
148,Matrix B,CacheFollower,1.0,0.4402139263202343,0.44111824716553605,0.35860741680501407,4-to-1,0.7381145293913588,0.0027063811222767177,7574.0,0.0,17.98865142395705
149,Matrix B,Hadoop,2.0,0.492439325719155,0.497371957894119,0.4011827825696003,4-to-1,0.15102417346970962,0.03895045398395907,27979.0,1.0,15.299167315993591
150,Matrix C,WebServer,2.0,0.7165477704140878,0.7472038145304855,0.3577739139658861,4-to-1,0.060955510973806096,-0.04916661684869521,12408.0,0.0,17.625797375452027
151,Matrix C,Hadoop,1.0,0.42582408589101306,0.4406933372094711,0.17964989280447616,1-to-1,0.028273651836150424,-0.1362679235631316,20841.0,0.0,19.881573499437557
152,Matrix B,WebServer,1.0,0.43017195695609256,0.4349436357383501,0.35070167769765287,4-to-1,0.06093715814898494,-0.2288629768859219,23614.0,0.0,19.59940877961543
153,Matrix A,WebServer,2.0,0.25206033685414797,0.26498500936800023,0.2234375507164583,1-to-1,0.055940473132557685,-0.22894197875363748,26797.0,1.0,14.856207448745861
154,Matrix B,CacheFollower,2.0,0.6012296386065648,0.6050576598054195,0.493725059146096,1-to-1,0.21729695496675427,-0.1515737109772824,9080.0,0.0,15.286238490684
155,Matrix C,Hadoop,1.0,0.3144567544030674,0.32543333855182993,0.13266382640734145,1-to-1,-0.004705620878003627,-0.07006309537820951,18225.0,0.0,11.090020440411934
