local,flowsim,ns3,m4
826819.0,152040.0,426115.0,138098.0
826298.0,191496.0,427451.0,138529.0
828783.0,191513.0,428787.0,138760.0
813795.0,191235.0,430123.0,138942.0
790840.0,15041.0,426115.0,140368.0
771544.0,197122.0,427451.0,138422.0
761655.0,197213.0,428787.0,138711.0
769700.0,197156.0,430123.0,138884.0
769490.0,125372.0,426115.0,138397.0
778677.0,193655.0,427451.0,135411.0
780361.0,193974.0,428787.0,138337.0
772576.0,193956.0,430123.0,138544.0
754041.0,188409.0,426115.0,138791.0
744994.0,197340.0,427451.0,139071.0
752889.0,199712.0,428787.0,138955.0
769581.0,199744.0,430123.0,138510.0
785370.0,198848.0,426115.0,140967.0
800309.0,183167.0,427451.0,136988.0
811871.0,198589.0,428787.0,140975.0
813784.0,198635.0,430123.0,138368.0
789538.0,198322.0,426115.0,137878.0
839143.0,43270.0,427451.0,139687.0
784679.0,194903.0,428787.0,139314.0
708664.0,195009.0,430123.0,138344.0
688426.0,194922.0,426115.0,137810.0
715738.0,64834.0,427451.0,136557.0
782805.0,198003.0,428787.0,138422.0
836427.0,198559.0,430123.0,138365.0
857687.0,198558.0,426115.0,138853.0
840224.0,191960.0,427451.0,139696.0
812973.0,202994.0,428787.0,136965.0
753921.0,204737.0,430123.0,138443.0
650544.0,204747.0,426115.0,140799.0
648550.0,203576.0,427451.0,139618.0
757257.0,189761.0,428787.0,139087.0
823132.0,198182.0,430123.0,138418.0
839584.0,198229.0,426115.0,140244.0
850604.0,198022.0,427451.0,138872.0
821709.0,96338.0,428787.0,139208.0
785361.0,191452.0,430123.0,138904.0
738672.0,191639.0,426115.0,139988.0
705919.0,191592.0,427451.0,139475.0
710258.0,15041.0,428787.0,138346.0
756074.0,194400.0,430123.0,138711.0
822491.0,195418.0,426115.0,138249.0
843591.0,195412.0,427451.0,139762.0
839192.0,177417.0,428787.0,138815.0
828623.0,192811.0,430123.0,138824.0
786362.0,198849.0,426115.0,140358.0
718283.0,198849.0,427451.0,139656.0
665323.0,195780.0,428787.0,138469.0
730016.0,148031.0,430123.0,138902.0
796021.0,198330.0,426115.0,137226.0
832249.0,198337.0,427451.0,139086.0
837710.0,197583.0,428787.0,138762.0
823643.0,12641.0,430123.0,138796.0
789968.0,198206.0,426115.0,138191.0
764290.0,198253.0,427451.0,138901.0
739714.0,198098.0,428787.0,138358.0
729324.0,136294.0,430123.0,138824.0
754692.0,195071.0,426115.0,137620.0
785381.0,195281.0,427451.0,138791.0
805699.0,195239.0,428787.0,136911.0
824584.0,190413.0,430123.0,138722.0
824464.0,198409.0,426115.0,140843.0
812963.0,199649.0,427451.0,138909.0
778487.0,199642.0,428787.0,139111.0
741336.0,198655.0,430123.0,138734.0
735145.0,195898.0,426115.0,140198.0
751085.0,204276.0,427451.0,139317.0
793575.0,204288.0,428787.0,139119.0
817041.0,204019.0,430123.0,138929.0
819966.0,36460.0,426115.0,139754.0
810228.0,194221.0,427451.0,136182.0
798936.0,194291.0,428787.0,137716.0
787354.0,194224.0,430123.0,139159.0
759952.0,67878.0,426115.0,138189.0
755614.0,198841.0,427451.0,139515.0
755583.0,199057.0,428787.0,140571.0
769310.0,199031.0,430123.0,138844.0
788256.0,187870.0,426115.0,140677.0
802002.0,197548.0,427451.0,140223.0
