RDMA MTP: Optimizing for 256 threads
[client req_send] t=0 ns reqId=1000001 size=17B client_node_id=1
[client req_send] t=0 ns reqId=2000001 size=17B client_node_id=2
[client req_send] t=0 ns reqId=3000001 size=17B client_node_id=3
[client req_send] t=0 ns reqId=4000001 size=17B client_node_id=4
[client req_send] t=0 ns reqId=5000001 size=17B client_node_id=5
[client req_send] t=0 ns reqId=6000001 size=17B client_node_id=6
[client req_send] t=0 ns reqId=7000001 size=17B client_node_id=7
[client req_send] t=0 ns reqId=8000001 size=17B client_node_id=8
[client req_send] t=0 ns reqId=9000001 size=17B client_node_id=9
[client req_send] t=0 ns reqId=10000001 size=17B client_node_id=10
[client req_send] t=0 ns reqId=11000001 size=17B client_node_id=11
[server req_recv] t=1104 ns reqId=4000001 size=17B client_node_id=4
[server req_recv] t=2208 ns reqId=1000001 size=17B client_node_id=1
[server req_recv] t=2260 ns reqId=2000001 size=17B client_node_id=2
[server req_recv] t=2312 ns reqId=5000001 size=17B client_node_id=5
[server req_recv] t=2364 ns reqId=3000001 size=17B client_node_id=3
[client req_send] t=2500 ns reqId=1000002 size=17B client_node_id=1
[client req_send] t=2500 ns reqId=2000002 size=17B client_node_id=2
[client req_send] t=2500 ns reqId=3000002 size=17B client_node_id=3
[client req_send] t=2500 ns reqId=4000002 size=17B client_node_id=4
[client req_send] t=2500 ns reqId=5000002 size=17B client_node_id=5
[client req_send] t=2500 ns reqId=6000002 size=17B client_node_id=6
[client req_send] t=2500 ns reqId=7000002 size=17B client_node_id=7
[client req_send] t=2500 ns reqId=8000002 size=17B client_node_id=8
[client req_send] t=2500 ns reqId=9000002 size=17B client_node_id=9
[client req_send] t=2500 ns reqId=10000002 size=17B client_node_id=10
[client req_send] t=2500 ns reqId=11000002 size=17B client_node_id=11
[server req_recv] t=3312 ns reqId=6000001 size=17B client_node_id=6
[server req_recv] t=3364 ns reqId=8000001 size=17B client_node_id=8
[server req_recv] t=3416 ns reqId=10000001 size=17B client_node_id=10
[server req_recv] t=3468 ns reqId=7000001 size=17B client_node_id=7
[server req_recv] t=3520 ns reqId=9000001 size=17B client_node_id=9
[server req_recv] t=3572 ns reqId=11000001 size=17B client_node_id=11
[server req_recv] t=3624 ns reqId=4000002 size=17B client_node_id=4
[server req_recv] t=4708 ns reqId=1000002 size=17B client_node_id=1
[server req_recv] t=4760 ns reqId=2000002 size=17B client_node_id=2
[server req_recv] t=4812 ns reqId=5000002 size=17B client_node_id=5
[server req_recv] t=4864 ns reqId=3000002 size=17B client_node_id=3
[server req_recv] t=5812 ns reqId=6000002 size=17B client_node_id=6
[server req_recv] t=5864 ns reqId=8000002 size=17B client_node_id=8
[server req_recv] t=5916 ns reqId=10000002 size=17B client_node_id=10
[server req_recv] t=5968 ns reqId=7000002 size=17B client_node_id=7
[server req_recv] t=6020 ns reqId=9000002 size=17B client_node_id=9
[server req_recv] t=6072 ns reqId=11000002 size=17B client_node_id=11
[server resp_send] t=250001104 ns reqId=4000001 size=41B client_node_id=4
[server resp_send] t=250002208 ns reqId=1000001 size=41B client_node_id=1
[client resp_recv] t=250002246 ns reqId=4000001 size=41B client_node_id=4
[client hand_send] t=250002246 ns reqId=4000001 size=10B client_node_id=4
[server resp_send] t=250002260 ns reqId=2000001 size=41B client_node_id=2
[server resp_send] t=250002312 ns reqId=5000001 size=41B client_node_id=5
[server resp_send] t=250002364 ns reqId=3000001 size=41B client_node_id=3
[server resp_send] t=250003312 ns reqId=6000001 size=41B client_node_id=6
[server resp_send] t=250003364 ns reqId=8000001 size=41B client_node_id=8
[server hand_recv] t=250003388 ns reqId=4000001 size=10B client_node_id=4
[server resp_send] t=250003416 ns reqId=10000001 size=41B client_node_id=10
[server resp_send] t=250003468 ns reqId=7000001 size=41B client_node_id=7
[server resp_send] t=250003520 ns reqId=9000001 size=41B client_node_id=9
[server resp_send] t=250003572 ns reqId=11000001 size=41B client_node_id=11
[server resp_send] t=250003624 ns reqId=4000002 size=41B client_node_id=4
[client resp_recv] t=250004492 ns reqId=1000001 size=41B client_node_id=1
[client hand_send] t=250004492 ns reqId=1000001 size=10B client_node_id=1
[client resp_recv] t=250004563 ns reqId=2000001 size=41B client_node_id=2
[client hand_send] t=250004563 ns reqId=2000001 size=10B client_node_id=2
[client resp_recv] t=250004634 ns reqId=5000001 size=41B client_node_id=5
[client hand_send] t=250004634 ns reqId=5000001 size=10B client_node_id=5
[client resp_recv] t=250004705 ns reqId=3000001 size=41B client_node_id=3
[client hand_send] t=250004705 ns reqId=3000001 size=10B client_node_id=3
[server resp_send] t=250004708 ns reqId=1000002 size=41B client_node_id=1
[server resp_send] t=250004760 ns reqId=2000002 size=41B client_node_id=2
[server resp_send] t=250004812 ns reqId=5000002 size=41B client_node_id=5
[server resp_send] t=250004864 ns reqId=3000002 size=41B client_node_id=3
[client resp_recv] t=250004928 ns reqId=4000002 size=41B client_node_id=4
[client hand_send] t=250004928 ns reqId=4000002 size=10B client_node_id=4
[server resp_send] t=250005812 ns reqId=6000002 size=41B client_node_id=6
[server resp_send] t=250005864 ns reqId=8000002 size=41B client_node_id=8
[server resp_send] t=250005916 ns reqId=10000002 size=41B client_node_id=10
[server resp_send] t=250005968 ns reqId=7000002 size=41B client_node_id=7
[server resp_send] t=250006020 ns reqId=9000002 size=41B client_node_id=9
[server hand_recv] t=250006070 ns reqId=4000002 size=10B client_node_id=4
[server resp_send] t=250006072 ns reqId=11000002 size=41B client_node_id=11
[server hand_recv] t=250006730 ns reqId=1000001 size=10B client_node_id=1
[client resp_recv] t=250006738 ns reqId=6000001 size=41B client_node_id=6
[client hand_send] t=250006738 ns reqId=6000001 size=10B client_node_id=6
[client resp_recv] t=250006809 ns reqId=8000001 size=41B client_node_id=8
[client hand_send] t=250006809 ns reqId=8000001 size=10B client_node_id=8
[server hand_recv] t=250006824 ns reqId=2000001 size=10B client_node_id=2
[server hand_recv] t=250006918 ns reqId=5000001 size=10B client_node_id=5
[client resp_recv] t=250006928 ns reqId=10000001 size=41B client_node_id=10
[client hand_send] t=250006928 ns reqId=10000001 size=10B client_node_id=10
[client resp_recv] t=250006992 ns reqId=1000002 size=41B client_node_id=1
[client hand_send] t=250006992 ns reqId=1000002 size=10B client_node_id=1
[client resp_recv] t=250006999 ns reqId=7000001 size=41B client_node_id=7
[client hand_send] t=250006999 ns reqId=7000001 size=10B client_node_id=7
[server hand_recv] t=250007012 ns reqId=3000001 size=10B client_node_id=3
[client resp_recv] t=250007063 ns reqId=2000002 size=41B client_node_id=2
[client hand_send] t=250007063 ns reqId=2000002 size=10B client_node_id=2
[client resp_recv] t=250007070 ns reqId=9000001 size=41B client_node_id=9
[client hand_send] t=250007070 ns reqId=9000001 size=10B client_node_id=9
[client resp_recv] t=250007134 ns reqId=5000002 size=41B client_node_id=5
[client hand_send] t=250007134 ns reqId=5000002 size=10B client_node_id=5
[client resp_recv] t=250007141 ns reqId=11000001 size=41B client_node_id=11
[client hand_send] t=250007141 ns reqId=11000001 size=10B client_node_id=11
[client resp_recv] t=250007205 ns reqId=3000002 size=41B client_node_id=3
[client hand_send] t=250007205 ns reqId=3000002 size=10B client_node_id=3
[server hand_recv] t=250009230 ns reqId=1000002 size=10B client_node_id=1
[client resp_recv] t=250009238 ns reqId=6000002 size=41B client_node_id=6
[client hand_send] t=250009238 ns reqId=6000002 size=10B client_node_id=6
[client resp_recv] t=250009309 ns reqId=8000002 size=41B client_node_id=8
[client hand_send] t=250009309 ns reqId=8000002 size=10B client_node_id=8
[server hand_recv] t=250009324 ns reqId=2000002 size=10B client_node_id=2
[client resp_recv] t=250009380 ns reqId=10000002 size=41B client_node_id=10
[client hand_send] t=250009380 ns reqId=10000002 size=10B client_node_id=10
[server hand_recv] t=250009418 ns reqId=5000002 size=10B client_node_id=5
[client resp_recv] t=250009451 ns reqId=7000002 size=41B client_node_id=7
[client hand_send] t=250009451 ns reqId=7000002 size=10B client_node_id=7
[server hand_recv] t=250009512 ns reqId=3000002 size=10B client_node_id=3
[client resp_recv] t=250009570 ns reqId=9000002 size=41B client_node_id=9
[client hand_send] t=250009570 ns reqId=9000002 size=10B client_node_id=9
[client resp_recv] t=250009641 ns reqId=11000002 size=41B client_node_id=11
[client hand_send] t=250009641 ns reqId=11000002 size=10B client_node_id=11
[server hand_recv] t=250010072 ns reqId=6000001 size=10B client_node_id=6
[server hand_recv] t=250010166 ns reqId=8000001 size=10B client_node_id=8
[server hand_recv] t=250010262 ns reqId=10000001 size=10B client_node_id=10
[server hand_recv] t=250010356 ns reqId=7000001 size=10B client_node_id=7
[server hand_recv] t=250010450 ns reqId=9000001 size=10B client_node_id=9
[server hand_recv] t=250010544 ns reqId=11000001 size=10B client_node_id=11
[server hand_recv] t=250012572 ns reqId=6000002 size=10B client_node_id=6
[server hand_recv] t=250012666 ns reqId=8000002 size=10B client_node_id=8
[server hand_recv] t=250012760 ns reqId=10000002 size=10B client_node_id=10
[server hand_recv] t=250012854 ns reqId=7000002 size=10B client_node_id=7
[server hand_recv] t=250012948 ns reqId=9000002 size=10B client_node_id=9
[server hand_recv] t=250013042 ns reqId=11000002 size=10B client_node_id=11
[server rdma_send] t=250153388 ns reqId=4000001 size=665608B client_node_id=4
[server rdma_send] t=250156070 ns reqId=4000002 size=665608B client_node_id=4
[server rdma_send] t=250156730 ns reqId=1000001 size=665608B client_node_id=1
[server rdma_send] t=250156824 ns reqId=2000001 size=665608B client_node_id=2
[server rdma_send] t=250156918 ns reqId=5000001 size=665608B client_node_id=5
[server rdma_send] t=250157012 ns reqId=3000001 size=665608B client_node_id=3
[server rdma_send] t=250159230 ns reqId=1000002 size=665608B client_node_id=1
[server rdma_send] t=250159324 ns reqId=2000002 size=665608B client_node_id=2
[server rdma_send] t=250159418 ns reqId=5000002 size=665608B client_node_id=5
[server rdma_send] t=250159512 ns reqId=3000002 size=665608B client_node_id=3
[server rdma_send] t=250160072 ns reqId=6000001 size=665608B client_node_id=6
[server rdma_send] t=250160166 ns reqId=8000001 size=665608B client_node_id=8
[server rdma_send] t=250160262 ns reqId=10000001 size=665608B client_node_id=10
[server rdma_send] t=250160356 ns reqId=7000001 size=665608B client_node_id=7
[server rdma_send] t=250160450 ns reqId=9000001 size=665608B client_node_id=9
[server rdma_send] t=250160544 ns reqId=11000001 size=665608B client_node_id=11
[server rdma_send] t=250162572 ns reqId=6000002 size=665608B client_node_id=6
[server rdma_send] t=250162666 ns reqId=8000002 size=665608B client_node_id=8
[server rdma_send] t=250162760 ns reqId=10000002 size=665608B client_node_id=10
[server rdma_send] t=250162854 ns reqId=7000002 size=665608B client_node_id=7
[server rdma_send] t=250162948 ns reqId=9000002 size=665608B client_node_id=9
[server rdma_send] t=250163042 ns reqId=11000002 size=665608B client_node_id=11
[client rdma_recv] t=261792464 ns reqId=4000001 size=665608B client_node_id=4
[client req_send] t=261794964 ns reqId=4000003 size=17B client_node_id=4
[server req_recv] t=261796068 ns reqId=4000003 size=17B client_node_id=4
[client rdma_recv] t=261799388 ns reqId=4000002 size=665608B client_node_id=4
[client req_send] t=261801888 ns reqId=4000004 size=17B client_node_id=4
[server req_recv] t=261802992 ns reqId=4000004 size=17B client_node_id=4
[client rdma_recv] t=261821160 ns reqId=1000001 size=665608B client_node_id=1
[client req_send] t=261823660 ns reqId=1000003 size=17B client_node_id=1
[server req_recv] t=261825868 ns reqId=1000003 size=17B client_node_id=1
[client rdma_recv] t=261828132 ns reqId=2000001 size=665608B client_node_id=2
[client req_send] t=261830632 ns reqId=2000003 size=17B client_node_id=2
[server req_recv] t=261832840 ns reqId=2000003 size=17B client_node_id=2
[client rdma_recv] t=261835104 ns reqId=5000001 size=665608B client_node_id=5
[client req_send] t=261837604 ns reqId=5000003 size=17B client_node_id=5
[server req_recv] t=261839812 ns reqId=5000003 size=17B client_node_id=5
[client rdma_recv] t=261842028 ns reqId=3000001 size=665608B client_node_id=3
[client req_send] t=261844528 ns reqId=3000003 size=17B client_node_id=3
[server req_recv] t=261846736 ns reqId=3000003 size=17B client_node_id=3
[client rdma_recv] t=261848952 ns reqId=1000002 size=665608B client_node_id=1
[client req_send] t=261851452 ns reqId=1000004 size=17B client_node_id=1
[server req_recv] t=261853660 ns reqId=1000004 size=17B client_node_id=1
[client rdma_recv] t=261855924 ns reqId=2000002 size=665608B client_node_id=2
