RDMA MTP: Optimizing for 256 threads
[client req_send] t=0 ns reqId=1000001 size=17B client_node_id=1
[client req_send] t=0 ns reqId=2000001 size=17B client_node_id=2
[client req_send] t=0 ns reqId=3000001 size=17B client_node_id=3
[client req_send] t=0 ns reqId=4000001 size=17B client_node_id=4
[client req_send] t=0 ns reqId=5000001 size=17B client_node_id=5
[client req_send] t=0 ns reqId=6000001 size=17B client_node_id=6
[client req_send] t=0 ns reqId=7000001 size=17B client_node_id=7
[client req_send] t=0 ns reqId=8000001 size=17B client_node_id=8
[client req_send] t=0 ns reqId=9000001 size=17B client_node_id=9
[client req_send] t=0 ns reqId=10000001 size=17B client_node_id=10
[client req_send] t=0 ns reqId=11000001 size=17B client_node_id=11
[server req_recv] t=304 ns reqId=4000001 size=17B client_node_id=4
[server req_recv] t=608 ns reqId=1000001 size=17B client_node_id=1
[server req_recv] t=660 ns reqId=2000001 size=17B client_node_id=2
[server req_recv] t=712 ns reqId=5000001 size=17B client_node_id=5
[server req_recv] t=764 ns reqId=3000001 size=17B client_node_id=3
[server req_recv] t=912 ns reqId=6000001 size=17B client_node_id=6
[server req_recv] t=964 ns reqId=8000001 size=17B client_node_id=8
[server req_recv] t=1016 ns reqId=10000001 size=17B client_node_id=10
[server req_recv] t=1068 ns reqId=7000001 size=17B client_node_id=7
[server req_recv] t=1120 ns reqId=9000001 size=17B client_node_id=9
[server req_recv] t=1172 ns reqId=11000001 size=17B client_node_id=11
[server resp_send] t=50000304 ns reqId=4000001 size=41B client_node_id=4
[server resp_send] t=50000608 ns reqId=1000001 size=41B client_node_id=1
[client resp_recv] t=50000646 ns reqId=4000001 size=41B client_node_id=4
[client hand_send] t=50000646 ns reqId=4000001 size=10B client_node_id=4
[server resp_send] t=50000660 ns reqId=2000001 size=41B client_node_id=2
[server resp_send] t=50000712 ns reqId=5000001 size=41B client_node_id=5
[server resp_send] t=50000764 ns reqId=3000001 size=41B client_node_id=3
[server resp_send] t=50000912 ns reqId=6000001 size=41B client_node_id=6
[server resp_send] t=50000964 ns reqId=8000001 size=41B client_node_id=8
[server hand_recv] t=50000988 ns reqId=4000001 size=10B client_node_id=4
[server resp_send] t=50001016 ns reqId=10000001 size=41B client_node_id=10
[server resp_send] t=50001068 ns reqId=7000001 size=41B client_node_id=7
[server resp_send] t=50001120 ns reqId=9000001 size=41B client_node_id=9
[server resp_send] t=50001172 ns reqId=11000001 size=41B client_node_id=11
[client resp_recv] t=50001292 ns reqId=1000001 size=41B client_node_id=1
[client hand_send] t=50001292 ns reqId=1000001 size=10B client_node_id=1
[client resp_recv] t=50001363 ns reqId=2000001 size=41B client_node_id=2
[client hand_send] t=50001363 ns reqId=2000001 size=10B client_node_id=2
[client resp_recv] t=50001434 ns reqId=5000001 size=41B client_node_id=5
[client hand_send] t=50001434 ns reqId=5000001 size=10B client_node_id=5
[client resp_recv] t=50001505 ns reqId=3000001 size=41B client_node_id=3
[client hand_send] t=50001505 ns reqId=3000001 size=10B client_node_id=3
[server hand_recv] t=50001930 ns reqId=1000001 size=10B client_node_id=1
[client resp_recv] t=50001938 ns reqId=6000001 size=41B client_node_id=6
[client hand_send] t=50001938 ns reqId=6000001 size=10B client_node_id=6
[client resp_recv] t=50002009 ns reqId=8000001 size=41B client_node_id=8
[client hand_send] t=50002009 ns reqId=8000001 size=10B client_node_id=8
[server hand_recv] t=50002024 ns reqId=2000001 size=10B client_node_id=2
[server hand_recv] t=50002118 ns reqId=5000001 size=10B client_node_id=5
[client resp_recv] t=50002128 ns reqId=10000001 size=41B client_node_id=10
[client hand_send] t=50002128 ns reqId=10000001 size=10B client_node_id=10
[client resp_recv] t=50002199 ns reqId=7000001 size=41B client_node_id=7
[client hand_send] t=50002199 ns reqId=7000001 size=10B client_node_id=7
[server hand_recv] t=50002212 ns reqId=3000001 size=10B client_node_id=3
[client resp_recv] t=50002270 ns reqId=9000001 size=41B client_node_id=9
[client hand_send] t=50002270 ns reqId=9000001 size=10B client_node_id=9
[client resp_recv] t=50002341 ns reqId=11000001 size=41B client_node_id=11
[client hand_send] t=50002341 ns reqId=11000001 size=10B client_node_id=11
[server hand_recv] t=50002872 ns reqId=6000001 size=10B client_node_id=6
[server hand_recv] t=50002966 ns reqId=8000001 size=10B client_node_id=8
[server hand_recv] t=50003062 ns reqId=10000001 size=10B client_node_id=10
[server hand_recv] t=50003156 ns reqId=7000001 size=10B client_node_id=7
[server hand_recv] t=50003250 ns reqId=9000001 size=10B client_node_id=9
[server hand_recv] t=50003344 ns reqId=11000001 size=10B client_node_id=11
[server rdma_send] t=50150988 ns reqId=4000001 size=102408B client_node_id=4
[server rdma_send] t=50151930 ns reqId=1000001 size=102408B client_node_id=1
[server rdma_send] t=50152024 ns reqId=2000001 size=102408B client_node_id=2
[server rdma_send] t=50152118 ns reqId=5000001 size=102408B client_node_id=5
[server rdma_send] t=50152212 ns reqId=3000001 size=102408B client_node_id=3
[server rdma_send] t=50152872 ns reqId=6000001 size=102408B client_node_id=6
[server rdma_send] t=50152966 ns reqId=8000001 size=102408B client_node_id=8
[server rdma_send] t=50153062 ns reqId=10000001 size=102408B client_node_id=10
[server rdma_send] t=50153156 ns reqId=7000001 size=102408B client_node_id=7
[server rdma_send] t=50153250 ns reqId=9000001 size=102408B client_node_id=9
[server rdma_send] t=50153344 ns reqId=11000001 size=102408B client_node_id=11
[client rdma_recv] t=51032514 ns reqId=4000001 size=102408B client_node_id=4
[client req_send] t=51035014 ns reqId=4000002 size=17B client_node_id=4
[server req_recv] t=51035318 ns reqId=4000002 size=17B client_node_id=4
[client rdma_recv] t=51042716 ns reqId=1000001 size=102408B client_node_id=1
[client req_send] t=51045216 ns reqId=1000002 size=17B client_node_id=1
[client rdma_recv] t=51045480 ns reqId=2000001 size=102408B client_node_id=2
[server req_recv] t=51045824 ns reqId=1000002 size=17B client_node_id=1
[client req_send] t=51047980 ns reqId=2000002 size=17B client_node_id=2
[client rdma_recv] t=51048244 ns reqId=5000001 size=102408B client_node_id=5
[server req_recv] t=51048588 ns reqId=2000002 size=17B client_node_id=2
[client req_send] t=51050744 ns reqId=5000002 size=17B client_node_id=5
[client rdma_recv] t=51051008 ns reqId=3000001 size=102408B client_node_id=3
[server req_recv] t=51051352 ns reqId=5000002 size=17B client_node_id=5
[client req_send] t=51053508 ns reqId=3000002 size=17B client_node_id=3
[server req_recv] t=51054116 ns reqId=3000002 size=17B client_node_id=3
[client rdma_recv] t=51059500 ns reqId=6000001 size=102408B client_node_id=6
[client req_send] t=51062000 ns reqId=6000002 size=17B client_node_id=6
[client rdma_recv] t=51062264 ns reqId=8000001 size=102408B client_node_id=8
[server req_recv] t=51062912 ns reqId=6000002 size=17B client_node_id=6
[client req_send] t=51064764 ns reqId=8000002 size=17B client_node_id=8
[client rdma_recv] t=51065076 ns reqId=10000001 size=102408B client_node_id=10
[server req_recv] t=51065676 ns reqId=8000002 size=17B client_node_id=8
[client req_send] t=51067576 ns reqId=10000002 size=17B client_node_id=10
[client rdma_recv] t=51067888 ns reqId=7000001 size=102408B client_node_id=7
[server req_recv] t=51068488 ns reqId=10000002 size=17B client_node_id=10
[client req_send] t=51070388 ns reqId=7000002 size=17B client_node_id=7
[client rdma_recv] t=51070700 ns reqId=9000001 size=102408B client_node_id=9
[server req_recv] t=51071300 ns reqId=7000002 size=17B client_node_id=7
[client req_send] t=51073200 ns reqId=9000002 size=17B client_node_id=9
[client rdma_recv] t=51073512 ns reqId=11000001 size=102408B client_node_id=11
[server req_recv] t=51074112 ns reqId=9000002 size=17B client_node_id=9
[client req_send] t=51076012 ns reqId=11000002 size=17B client_node_id=11
[server req_recv] t=51076924 ns reqId=11000002 size=17B client_node_id=11
[server resp_send] t=101035318 ns reqId=4000002 size=41B client_node_id=4
[client resp_recv] t=101035660 ns reqId=4000002 size=41B client_node_id=4
[client hand_send] t=101035660 ns reqId=4000002 size=10B client_node_id=4
[server hand_recv] t=101036002 ns reqId=4000002 size=10B client_node_id=4
[server resp_send] t=101045824 ns reqId=1000002 size=41B client_node_id=1
[client resp_recv] t=101046508 ns reqId=1000002 size=41B client_node_id=1
[client hand_send] t=101046508 ns reqId=1000002 size=10B client_node_id=1
[server hand_recv] t=101047146 ns reqId=1000002 size=10B client_node_id=1
[server resp_send] t=101048588 ns reqId=2000002 size=41B client_node_id=2
[client resp_recv] t=101049272 ns reqId=2000002 size=41B client_node_id=2
[client hand_send] t=101049272 ns reqId=2000002 size=10B client_node_id=2
[server hand_recv] t=101049910 ns reqId=2000002 size=10B client_node_id=2
[server resp_send] t=101051352 ns reqId=5000002 size=41B client_node_id=5
[client resp_recv] t=101052036 ns reqId=5000002 size=41B client_node_id=5
[client hand_send] t=101052036 ns reqId=5000002 size=10B client_node_id=5
[server hand_recv] t=101052674 ns reqId=5000002 size=10B client_node_id=5
[server resp_send] t=101054116 ns reqId=3000002 size=41B client_node_id=3
[client resp_recv] t=101054800 ns reqId=3000002 size=41B client_node_id=3
[client hand_send] t=101054800 ns reqId=3000002 size=10B client_node_id=3
[server hand_recv] t=101055438 ns reqId=3000002 size=10B client_node_id=3
[server resp_send] t=101062912 ns reqId=6000002 size=41B client_node_id=6
[client resp_recv] t=101063938 ns reqId=6000002 size=41B client_node_id=6
[client hand_send] t=101063938 ns reqId=6000002 size=10B client_node_id=6
[server hand_recv] t=101064872 ns reqId=6000002 size=10B client_node_id=6
[server resp_send] t=101065676 ns reqId=8000002 size=41B client_node_id=8
[client resp_recv] t=101066702 ns reqId=8000002 size=41B client_node_id=8
[client hand_send] t=101066702 ns reqId=8000002 size=10B client_node_id=8
[server hand_recv] t=101067636 ns reqId=8000002 size=10B client_node_id=8
[server resp_send] t=101068488 ns reqId=10000002 size=41B client_node_id=10
[client resp_recv] t=101069514 ns reqId=10000002 size=41B client_node_id=10
[client hand_send] t=101069514 ns reqId=10000002 size=10B client_node_id=10
[server hand_recv] t=101070448 ns reqId=10000002 size=10B client_node_id=10
[server resp_send] t=101071300 ns reqId=7000002 size=41B client_node_id=7
[client resp_recv] t=101072326 ns reqId=7000002 size=41B client_node_id=7
[client hand_send] t=101072326 ns reqId=7000002 size=10B client_node_id=7
[server hand_recv] t=101073260 ns reqId=7000002 size=10B client_node_id=7
[server resp_send] t=101074112 ns reqId=9000002 size=41B client_node_id=9
[client resp_recv] t=101075138 ns reqId=9000002 size=41B client_node_id=9
[client hand_send] t=101075138 ns reqId=9000002 size=10B client_node_id=9
[server hand_recv] t=101076072 ns reqId=9000002 size=10B client_node_id=9
[server resp_send] t=101076924 ns reqId=11000002 size=41B client_node_id=11
[client resp_recv] t=101077950 ns reqId=11000002 size=41B client_node_id=11
[client hand_send] t=101077950 ns reqId=11000002 size=10B client_node_id=11
[server hand_recv] t=101078884 ns reqId=11000002 size=10B client_node_id=11
[server rdma_send] t=101186002 ns reqId=4000002 size=102408B client_node_id=4
[server rdma_send] t=101197146 ns reqId=1000002 size=102408B client_node_id=1
[server rdma_send] t=101199910 ns reqId=2000002 size=102408B client_node_id=2
[server rdma_send] t=101202674 ns reqId=5000002 size=102408B client_node_id=5
[server rdma_send] t=101205438 ns reqId=3000002 size=102408B client_node_id=3
[server rdma_send] t=101214872 ns reqId=6000002 size=102408B client_node_id=6
[server rdma_send] t=101217636 ns reqId=8000002 size=102408B client_node_id=8
[server rdma_send] t=101220448 ns reqId=10000002 size=102408B client_node_id=10
[server rdma_send] t=101223260 ns reqId=7000002 size=102408B client_node_id=7
[server rdma_send] t=101226072 ns reqId=9000002 size=102408B client_node_id=9
[server rdma_send] t=101228884 ns reqId=11000002 size=102408B client_node_id=11
[client rdma_recv] t=101995148 ns reqId=4000002 size=102408B client_node_id=4
[client req_send] t=101997648 ns reqId=4000003 size=17B client_node_id=4
[server req_recv] t=101997952 ns reqId=4000003 size=17B client_node_id=4
[client rdma_recv] t=102080542 ns reqId=1000002 size=102408B client_node_id=1
[client req_send] t=102083042 ns reqId=1000003 size=17B client_node_id=1
[client rdma_recv] t=102083306 ns reqId=2000002 size=102408B client_node_id=2
[server req_recv] t=102083650 ns reqId=1000003 size=17B client_node_id=1
[client req_send] t=102085806 ns reqId=2000003 size=17B client_node_id=2
[client rdma_recv] t=102086070 ns reqId=5000002 size=102408B client_node_id=5
[server req_recv] t=102086414 ns reqId=2000003 size=17B client_node_id=2
