RDMA MTP: Optimizing for 256 threads
[server req_recv] t=8542 ns reqId=8000002 size=17B client_node_id=8
[server resp_send] t=8543 ns reqId=8000002 size=41B client_node_id=8
[server req_recv] t=8554 ns reqId=10000002 size=17B client_node_id=10
[server resp_send] t=8555 ns reqId=10000002 size=41B client_node_id=10
[server hand_recv] t=8559 ns reqId=4000002 size=10B client_node_id=4
[server rdma_send] t=8560 ns reqId=4000002 size=665608B client_node_id=4
[server req_recv] t=8565 ns reqId=7000002 size=17B client_node_id=7
[server resp_send] t=8566 ns reqId=7000002 size=41B client_node_id=7
[server req_recv] t=8571 ns reqId=9000002 size=17B client_node_id=9
[server resp_send] t=8572 ns reqId=9000002 size=41B client_node_id=9
[server req_recv] t=8577 ns reqId=11000002 size=17B client_node_id=11
[server resp_send] t=8578 ns reqId=11000002 size=41B client_node_id=11
[server req_recv] t=9024 ns reqId=1000003 size=17B client_node_id=1
[server resp_send] t=9025 ns reqId=1000003 size=41B client_node_id=1
[server req_recv] t=9030 ns reqId=2000003 size=17B client_node_id=2
[server resp_send] t=9031 ns reqId=2000003 size=41B client_node_id=2
[server req_recv] t=9036 ns reqId=5000003 size=17B client_node_id=5
[server resp_send] t=9037 ns reqId=5000003 size=41B client_node_id=5
[server req_recv] t=9042 ns reqId=3000003 size=17B client_node_id=3
[server resp_send] t=9043 ns reqId=3000003 size=41B client_node_id=3
[server req_recv] t=9512 ns reqId=4000004 size=17B client_node_id=4
[server resp_send] t=9513 ns reqId=4000004 size=41B client_node_id=4
[client resp_recv] t=9924 ns reqId=4000003 size=41B client_node_id=4
[client hand_send] t=9924 ns reqId=4000003 size=10B client_node_id=4
[client req_send] t=10000 ns reqId=1000005 size=17B client_node_id=1
[client req_send] t=10000 ns reqId=2000005 size=17B client_node_id=2
[client req_send] t=10000 ns reqId=3000005 size=17B client_node_id=3
[client req_send] t=10000 ns reqId=4000005 size=17B client_node_id=4
[client req_send] t=10000 ns reqId=5000005 size=17B client_node_id=5
[client req_send] t=10000 ns reqId=6000005 size=17B client_node_id=6
[client req_send] t=10000 ns reqId=7000005 size=17B client_node_id=7
[client req_send] t=10000 ns reqId=8000005 size=17B client_node_id=8
[client req_send] t=10000 ns reqId=9000005 size=17B client_node_id=9
[client req_send] t=10000 ns reqId=10000005 size=17B client_node_id=10
[client req_send] t=10000 ns reqId=11000005 size=17B client_node_id=11
[server req_recv] t=11036 ns reqId=6000003 size=17B client_node_id=6
[server resp_send] t=11037 ns reqId=6000003 size=41B client_node_id=6
[server req_recv] t=11042 ns reqId=8000003 size=17B client_node_id=8
[server resp_send] t=11043 ns reqId=8000003 size=41B client_node_id=8
[server req_recv] t=11048 ns reqId=10000003 size=17B client_node_id=10
[server resp_send] t=11049 ns reqId=10000003 size=41B client_node_id=10
[server req_recv] t=11054 ns reqId=7000003 size=17B client_node_id=7
[server resp_send] t=11055 ns reqId=7000003 size=41B client_node_id=7
[server req_recv] t=11060 ns reqId=9000003 size=17B client_node_id=9
[server resp_send] t=11061 ns reqId=9000003 size=41B client_node_id=9
[server req_recv] t=11066 ns reqId=11000003 size=17B client_node_id=11
[server resp_send] t=11067 ns reqId=11000003 size=41B client_node_id=11
[client resp_recv] t=11092 ns reqId=1000002 size=41B client_node_id=1
[client hand_send] t=11092 ns reqId=1000002 size=10B client_node_id=1
[client resp_recv] t=11100 ns reqId=2000002 size=41B client_node_id=2
[client hand_send] t=11100 ns reqId=2000002 size=10B client_node_id=2
[client resp_recv] t=11108 ns reqId=5000002 size=41B client_node_id=5
[client hand_send] t=11108 ns reqId=5000002 size=10B client_node_id=5
[client resp_recv] t=11116 ns reqId=3000002 size=41B client_node_id=3
[client hand_send] t=11116 ns reqId=3000002 size=10B client_node_id=3
[server req_recv] t=11524 ns reqId=1000004 size=17B client_node_id=1
[server resp_send] t=11525 ns reqId=1000004 size=41B client_node_id=1
[server req_recv] t=11530 ns reqId=2000004 size=17B client_node_id=2
[server resp_send] t=11531 ns reqId=2000004 size=41B client_node_id=2
[server req_recv] t=11536 ns reqId=5000004 size=17B client_node_id=5
[server resp_send] t=11537 ns reqId=5000004 size=41B client_node_id=5
[server req_recv] t=11542 ns reqId=3000004 size=17B client_node_id=3
[server resp_send] t=11543 ns reqId=3000004 size=41B client_node_id=3
[server hand_recv] t=11941 ns reqId=4000003 size=10B client_node_id=4
[server rdma_send] t=11942 ns reqId=4000003 size=665608B client_node_id=4
[server req_recv] t=12012 ns reqId=4000005 size=17B client_node_id=4
[server resp_send] t=12013 ns reqId=4000005 size=41B client_node_id=4
[client resp_recv] t=12096 ns reqId=6000001 size=41B client_node_id=6
[client hand_send] t=12096 ns reqId=6000001 size=10B client_node_id=6
[server hand_recv] t=12109 ns reqId=1000001 size=10B client_node_id=1
[server rdma_send] t=12110 ns reqId=1000001 size=665608B client_node_id=1
[server hand_recv] t=12120 ns reqId=2000001 size=10B client_node_id=2
[server rdma_send] t=12121 ns reqId=2000001 size=665608B client_node_id=2
[server hand_recv] t=12131 ns reqId=5000001 size=10B client_node_id=5
[server rdma_send] t=12132 ns reqId=5000001 size=665608B client_node_id=5
[client resp_recv] t=12134 ns reqId=8000001 size=41B client_node_id=8
[client hand_send] t=12134 ns reqId=8000001 size=10B client_node_id=8
[client resp_recv] t=12142 ns reqId=10000001 size=41B client_node_id=10
[client hand_send] t=12142 ns reqId=10000001 size=10B client_node_id=10
[server hand_recv] t=12142 ns reqId=3000001 size=10B client_node_id=3
[server rdma_send] t=12143 ns reqId=3000001 size=665608B client_node_id=3
[client resp_recv] t=12416 ns reqId=4000004 size=41B client_node_id=4
[client hand_send] t=12416 ns reqId=4000004 size=10B client_node_id=4
[client req_send] t=12500 ns reqId=1000006 size=17B client_node_id=1
[client req_send] t=12500 ns reqId=2000006 size=17B client_node_id=2
[client req_send] t=12500 ns reqId=3000006 size=17B client_node_id=3
[client req_send] t=12500 ns reqId=4000006 size=17B client_node_id=4
[client req_send] t=12500 ns reqId=5000006 size=17B client_node_id=5
[client req_send] t=12500 ns reqId=6000006 size=17B client_node_id=6
[client req_send] t=12500 ns reqId=7000006 size=17B client_node_id=7
[client req_send] t=12500 ns reqId=8000006 size=17B client_node_id=8
[client req_send] t=12500 ns reqId=9000006 size=17B client_node_id=9
[client req_send] t=12500 ns reqId=10000006 size=17B client_node_id=10
[client req_send] t=12500 ns reqId=11000006 size=17B client_node_id=11
[client resp_recv] t=13084 ns reqId=7000001 size=41B client_node_id=7
[client hand_send] t=13084 ns reqId=7000001 size=10B client_node_id=7
[client resp_recv] t=13092 ns reqId=9000001 size=41B client_node_id=9
[client hand_send] t=13092 ns reqId=9000001 size=10B client_node_id=9
[client resp_recv] t=13100 ns reqId=11000001 size=41B client_node_id=11
[client hand_send] t=13100 ns reqId=11000001 size=10B client_node_id=11
[server req_recv] t=13536 ns reqId=6000004 size=17B client_node_id=6
[server resp_send] t=13537 ns reqId=6000004 size=41B client_node_id=6
[server req_recv] t=13542 ns reqId=8000004 size=17B client_node_id=8
[server resp_send] t=13543 ns reqId=8000004 size=41B client_node_id=8
[server req_recv] t=13548 ns reqId=10000004 size=17B client_node_id=10
[server resp_send] t=13549 ns reqId=10000004 size=41B client_node_id=10
[server req_recv] t=13554 ns reqId=7000004 size=17B client_node_id=7
[server resp_send] t=13555 ns reqId=7000004 size=41B client_node_id=7
[server req_recv] t=13560 ns reqId=9000004 size=17B client_node_id=9
[server resp_send] t=13561 ns reqId=9000004 size=41B client_node_id=9
[server req_recv] t=13566 ns reqId=11000004 size=17B client_node_id=11
[server resp_send] t=13567 ns reqId=11000004 size=41B client_node_id=11
[client resp_recv] t=13584 ns reqId=1000003 size=41B client_node_id=1
[client hand_send] t=13584 ns reqId=1000003 size=10B client_node_id=1
[client resp_recv] t=13592 ns reqId=2000003 size=41B client_node_id=2
[client hand_send] t=13592 ns reqId=2000003 size=10B client_node_id=2
[client resp_recv] t=13600 ns reqId=5000003 size=41B client_node_id=5
[client hand_send] t=13600 ns reqId=5000003 size=10B client_node_id=5
[client resp_recv] t=13608 ns reqId=3000003 size=41B client_node_id=3
[client hand_send] t=13608 ns reqId=3000003 size=10B client_node_id=3
[server req_recv] t=14024 ns reqId=1000005 size=17B client_node_id=1
[server resp_send] t=14025 ns reqId=1000005 size=41B client_node_id=1
[server req_recv] t=14030 ns reqId=2000005 size=17B client_node_id=2
[server resp_send] t=14031 ns reqId=2000005 size=41B client_node_id=2
[server req_recv] t=14036 ns reqId=5000005 size=17B client_node_id=5
[server resp_send] t=14037 ns reqId=5000005 size=41B client_node_id=5
[server req_recv] t=14042 ns reqId=3000005 size=17B client_node_id=3
[server resp_send] t=14043 ns reqId=3000005 size=41B client_node_id=3
[server hand_recv] t=14433 ns reqId=4000004 size=10B client_node_id=4
[server rdma_send] t=14434 ns reqId=4000004 size=665608B client_node_id=4
[server req_recv] t=14512 ns reqId=4000006 size=17B client_node_id=4
[server resp_send] t=14513 ns reqId=4000006 size=41B client_node_id=4
[client resp_recv] t=14596 ns reqId=8000002 size=41B client_node_id=8
[client hand_send] t=14596 ns reqId=8000002 size=10B client_node_id=8
[client resp_recv] t=14634 ns reqId=10000002 size=41B client_node_id=10
[client hand_send] t=14634 ns reqId=10000002 size=10B client_node_id=10
[client req_send] t=15000 ns reqId=1000007 size=17B client_node_id=1
[client req_send] t=15000 ns reqId=2000007 size=17B client_node_id=2
[client req_send] t=15000 ns reqId=3000007 size=17B client_node_id=3
[client req_send] t=15000 ns reqId=4000007 size=17B client_node_id=4
[client req_send] t=15000 ns reqId=5000007 size=17B client_node_id=5
[client req_send] t=15000 ns reqId=6000007 size=17B client_node_id=6
[client req_send] t=15000 ns reqId=7000007 size=17B client_node_id=7
[client req_send] t=15000 ns reqId=8000007 size=17B client_node_id=8
[client req_send] t=15000 ns reqId=9000007 size=17B client_node_id=9
[client req_send] t=15000 ns reqId=10000007 size=17B client_node_id=10
[client req_send] t=15000 ns reqId=11000007 size=17B client_node_id=11
[server hand_recv] t=15121 ns reqId=1000002 size=10B client_node_id=1
[server rdma_send] t=15122 ns reqId=1000002 size=665608B client_node_id=1
[server hand_recv] t=15132 ns reqId=2000002 size=10B client_node_id=2
[server rdma_send] t=15133 ns reqId=2000002 size=665608B client_node_id=2
[server hand_recv] t=15143 ns reqId=5000002 size=10B client_node_id=5
[server rdma_send] t=15144 ns reqId=5000002 size=665608B client_node_id=5
[server hand_recv] t=15154 ns reqId=3000002 size=10B client_node_id=3
[server rdma_send] t=15155 ns reqId=3000002 size=665608B client_node_id=3
[client resp_recv] t=15576 ns reqId=7000002 size=41B client_node_id=7
[client hand_send] t=15576 ns reqId=7000002 size=10B client_node_id=7
[client resp_recv] t=15580 ns reqId=1000004 size=41B client_node_id=1
[client hand_send] t=15580 ns reqId=1000004 size=10B client_node_id=1
[client resp_recv] t=15584 ns reqId=9000002 size=41B client_node_id=9
[client hand_send] t=15584 ns reqId=9000002 size=10B client_node_id=9
[client resp_recv] t=15588 ns reqId=2000004 size=41B client_node_id=2
[client hand_send] t=15588 ns reqId=2000004 size=10B client_node_id=2
[client resp_recv] t=15592 ns reqId=11000002 size=41B client_node_id=11
[client hand_send] t=15592 ns reqId=11000002 size=10B client_node_id=11
[client resp_recv] t=15596 ns reqId=5000004 size=41B client_node_id=5
[client hand_send] t=15596 ns reqId=5000004 size=10B client_node_id=5
[client resp_recv] t=15604 ns reqId=3000004 size=41B client_node_id=3
[client hand_send] t=15604 ns reqId=3000004 size=10B client_node_id=3
[client resp_recv] t=15640 ns reqId=6000002 size=41B client_node_id=6
[client hand_send] t=15640 ns reqId=6000002 size=10B client_node_id=6
[client resp_recv] t=15769 ns reqId=4000005 size=41B client_node_id=4
[client hand_send] t=15769 ns reqId=4000005 size=10B client_node_id=4
[server req_recv] t=16036 ns reqId=6000005 size=17B client_node_id=6
[server resp_send] t=16037 ns reqId=6000005 size=41B client_node_id=6
[server req_recv] t=16042 ns reqId=8000005 size=17B client_node_id=8
[server resp_send] t=16043 ns reqId=8000005 size=41B client_node_id=8
[server req_recv] t=16048 ns reqId=10000005 size=17B client_node_id=10
[server resp_send] t=16049 ns reqId=10000005 size=41B client_node_id=10
[server req_recv] t=16054 ns reqId=7000005 size=17B client_node_id=7
[server resp_send] t=16055 ns reqId=7000005 size=41B client_node_id=7
[server req_recv] t=16060 ns reqId=9000005 size=17B client_node_id=9
[server resp_send] t=16061 ns reqId=9000005 size=41B client_node_id=9
[server req_recv] t=16066 ns reqId=11000005 size=17B client_node_id=11
[server resp_send] t=16067 ns reqId=11000005 size=41B client_node_id=11
[server req_recv] t=16524 ns reqId=1000006 size=17B client_node_id=1
[server resp_send] t=16525 ns reqId=1000006 size=41B client_node_id=1
[server req_recv] t=16530 ns reqId=2000006 size=17B client_node_id=2
[server resp_send] t=16531 ns reqId=2000006 size=41B client_node_id=2
[server req_recv] t=16536 ns reqId=5000006 size=17B client_node_id=5
[server resp_send] t=16537 ns reqId=5000006 size=41B client_node_id=5
[server req_recv] t=16542 ns reqId=3000006 size=17B client_node_id=3
[server resp_send] t=16543 ns reqId=3000006 size=41B client_node_id=3
[server req_recv] t=17012 ns reqId=4000007 size=17B client_node_id=4
[server resp_send] t=17013 ns reqId=4000007 size=41B client_node_id=4
[client resp_recv] t=17120 ns reqId=6000003 size=41B client_node_id=6
[client hand_send] t=17120 ns reqId=6000003 size=10B client_node_id=6
[client resp_recv] t=17128 ns reqId=8000003 size=41B client_node_id=8
[client hand_send] t=17128 ns reqId=8000003 size=10B client_node_id=8
[client resp_recv] t=17136 ns reqId=10000003 size=41B client_node_id=10
[client hand_send] t=17136 ns reqId=10000003 size=10B client_node_id=10
[client resp_recv] t=17144 ns reqId=7000003 size=41B client_node_id=7
[client hand_send] t=17144 ns reqId=7000003 size=10B client_node_id=7
[client resp_recv] t=17152 ns reqId=9000003 size=41B client_node_id=9
[client hand_send] t=17152 ns reqId=9000003 size=10B client_node_id=9
[client resp_recv] t=17160 ns reqId=11000003 size=41B client_node_id=11
[client hand_send] t=17160 ns reqId=11000003 size=10B client_node_id=11
[client req_send] t=17500 ns reqId=1000008 size=17B client_node_id=1
[client req_send] t=17500 ns reqId=2000008 size=17B client_node_id=2
[client req_send] t=17500 ns reqId=3000008 size=17B client_node_id=3
[client req_send] t=17500 ns reqId=4000008 size=17B client_node_id=4
[client req_send] t=17500 ns reqId=5000008 size=17B client_node_id=5
[client req_send] t=17500 ns reqId=6000008 size=17B client_node_id=6
[client req_send] t=17500 ns reqId=7000008 size=17B client_node_id=7
[client req_send] t=17500 ns reqId=8000008 size=17B client_node_id=8
