local,flowsim,ns3,m4
9253234.0,1206596.0,2253599.0,1520060.0
9413247.0,1218517.0,2257069.0,1491814.0
9214349.0,1106517.0,2253599.0,1521432.0
9304630.0,1217698.0,2257069.0,918039.0
9136251.0,121286.0,2253599.0,1500646.0
9090935.0,1216653.0,2257069.0,1580369.0
9095032.0,1118929.0,2253599.0,1510283.0
9165326.0,1219592.0,2257069.0,1570162.0
9300743.0,1211147.0,2253599.0,1537624.0
9165416.0,1223091.0,2257069.0,1687042.0
9270095.0,1221490.0,2253599.0,1506183.0
9094632.0,1220796.0,2257069.0,1684172.0
9180575.0,1220436.0,2253599.0,1530310.0
9292417.0,1215381.0,2257069.0,1670166.0
9075124.0,1215318.0,2253599.0,1527722.0
9164044.0,1218205.0,2257069.0,1519203.0
9166488.0,1218230.0,2253599.0,1514733.0
9307737.0,1223727.0,2257069.0,1586271.0
9299541.0,1223842.0,2253599.0,1502173.0
9296485.0,1219602.0,2257069.0,1550530.0
9182749.0,1219928.0,2253599.0,1505901.0
9295233.0,1218216.0,2257069.0,1501670.0
9177248.0,1219531.0,2253599.0,1519801.0
9156759.0,1214302.0,2257069.0,1505796.0
9084042.0,1218921.0,2253599.0,1523518.0
9410732.0,1178480.0,2257069.0,1511283.0
9228676.0,1215612.0,2253599.0,947204.0
9167400.0,920820.0,2257069.0,1569918.0
9271588.0,1210227.0,2253599.0,1563611.0
9168381.0,632138.0,2257069.0,1577457.0
9196866.0,1210170.0,2253599.0,1503744.0
9133636.0,868239.0,2257069.0,1677630.0
9227975.0,1212515.0,2253599.0,1490957.0
9136471.0,1155960.0,2257069.0,1685274.0
9129258.0,1217607.0,2253599.0,1515708.0
9429007.0,1207588.0,2257069.0,1684649.0
9227975.0,1214929.0,2253599.0,1534971.0
9159264.0,1212187.0,2257069.0,967761.0
9154806.0,1219075.0,2253599.0,1490715.0
9075244.0,1218327.0,2257069.0,1583478.0
9326262.0,1220237.0,2253599.0,1522176.0
9083280.0,1219992.0,2257069.0,1690720.0
9106294.0,1220019.0,2253599.0,1497753.0
9126443.0,1220096.0,2257069.0,1690907.0
9085934.0,1225097.0,2253599.0,1540536.0
9063523.0,1225999.0,2257069.0,1685252.0
9329037.0,1216676.0,2253599.0,1501672.0
9099060.0,1220937.0,2257069.0,1511900.0
9152972.0,1195134.0,2253599.0,1513467.0
9103599.0,1217816.0,2257069.0,1501197.0
9084843.0,981588.0,2253599.0,1485839.0
9143535.0,1217448.0,2257069.0,1602289.0
9134037.0,243685.0,2253599.0,1575328.0
9161218.0,1211977.0,2257069.0,1536072.0
9058494.0,1136276.0,2253599.0,1500907.0
9163773.0,1217500.0,2257069.0,938819.0
9142513.0,1203715.0,2253599.0,1507180.0
9226212.0,1218909.0,2257069.0,1586541.0
9249166.0,1216418.0,2253599.0,1529377.0
9332203.0,1217372.0,2257069.0,1583352.0
9102567.0,1216668.0,2253599.0,1524906.0
9056539.0,1218150.0,2257069.0,1579975.0
9094933.0,1217951.0,2253599.0,1513860.0
9355247.0,1213705.0,2257069.0,1570548.0
9286295.0,1213635.0,2253599.0,1513336.0
9149907.0,1209766.0,2257069.0,1678671.0
9307416.0,1209794.0,2253599.0,1524441.0
9142633.0,1211721.0,2257069.0,1676758.0
9096496.0,1211966.0,2253599.0,1526763.0
9165085.0,1221468.0,2257069.0,1518408.0
9095544.0,1224056.0,2253599.0,1527173.0
9409931.0,1201054.0,2257069.0,1519043.0
9149074.0,1227141.0,2253599.0,940880.0
9154456.0,974821.0,2257069.0,1578078.0
9125770.0,1219477.0,2253599.0,1531579.0
9101945.0,249571.0,2257069.0,1588479.0
9214330.0,1212693.0,2253599.0,1540311.0
9299531.0,1139600.0,2257069.0,1570458.0
9157922.0,1218150.0,2253599.0,1511470.0
9151080.0,1205081.0,2257069.0,1569025.0
9106334.0,1220286.0,2253599.0,1513667.0
9212906.0,1217672.0,2257069.0,1571163.0
9159515.0,1218754.0,2253611.0,1501304.0
9162180.0,1218313.0,2257081.0,1681264.0
8391666.0,1218382.0,2254296.0,1524184.0
8526582.0,1218267.0,2257766.0,1696238.0
8386096.0,1209728.0,2254290.0,1508429.0
8394982.0,1209743.0,2257760.0,1542585.0
8247893.0,1207671.0,2254601.0,1513634.0
8335948.0,1207813.0,2258065.0,1511160.0
8352749.0,1212424.0,2257873.0,1508255.0
8372506.0,1213342.0,2259128.0,1486869.0
7274740.0,1209964.0,2251047.0,1502584.0
6809647.0,1220354.0,2250845.0,1566400.0
6582766.0,1150401.0,2254461.0,1492542.0
6606771.0,1221626.0,2250735.0,1519351.0
6561425.0,399125.0,2253599.0,1520246.0
6701391.0,1218539.0,2257069.0,1513251.0
6671324.0,825751.0,2253599.0,1520944.0
5831529.0,1216983.0,2257069.0,1510502.0
5888327.0,1186768.0,2253599.0,1509274.0
5851947.0,1216308.0,2257069.0,1509670.0
5830727.0,1210924.0,2253599.0,1508348.0
5495851.0,1218639.0,2257069.0,1496069.0
5232321.0,1217685.0,2253599.0,1498494.0
5007824.0,1215119.0,2257069.0,1499089.0
5366866.0,1214854.0,2253599.0,1530033.0
5345475.0,1219631.0,2257069.0,1530667.0
5443652.0,1219632.0,2253599.0,1502825.0
5466936.0,1227830.0,2257069.0,1522418.0
5667888.0,1227853.0,2253599.0,1535269.0
4655896.0,1220338.0,2257069.0,1507034.0
4472126.0,1220505.0,2253599.0,1506928.0
3957238.0,1209738.0,2257069.0,1518869.0
3554212.0,1210331.0,2253599.0,1522646.0
4841628.0,1208431.0,2257069.0,1603617.0
4304216.0,1210068.0,2253599.0,1485910.0
4440065.0,1200875.0,2257069.0,1524460.0
2680582.0,1217417.0,2253599.0,1491431.0
3719827.0,1116429.0,2257069.0,1568345.0
3861245.0,1216233.0,2253599.0,1503520.0
3854082.0,144338.0,2257069.0,1534411.0
4217332.0,1211808.0,2253599.0,1475936.0
4589299.0,1086035.0,2257069.0,1562779.0
4609547.0,1211725.0,2253599.0,1505188.0
4619265.0,1201202.0,2257069.0,1510957.0
4002264.0,1212982.0,2253599.0,1503533.0
3632531.0,1211311.0,2257069.0,1523322.0
3814376.0,1222529.0,2253599.0,1500129.0
2924176.0,1222028.0,2257069.0,1528601.0
3182747.0,1220388.0,2253599.0,1520508.0
4242850.0,1220201.0,2257069.0,1510865.0
3918344.0,1220251.0,2253599.0,1489023.0
4035587.0,1220231.0,2257069.0,924453.0
3050866.0,1226918.0,2253599.0,1494959.0
3823244.0,1226948.0,2257069.0,1697083.0
4501873.0,1218355.0,2253599.0,1510448.0
3290371.0,1218531.0,2257069.0,1682976.0
3318504.0,1211429.0,1830725.0,1519807.0
3295531.0,1212549.0,1834195.0,1654877.0
2915639.0,1206414.0,1237120.0,1519213.0
2392435.0,1219244.0,1237120.0,1654488.0
1509668.0,1134481.0,1237120.0,1512198.0
1510430.0,1220384.0,1237120.0,1498930.0
1613264.0,183665.0,1237120.0,1508133.0
1502003.0,1219883.0,1237120.0,1503084.0
